epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,1.675902120968168,0.26375184303050925,1.4831282170373803,0.21656451359421655,0.27685620848094916,0.28042679069444265,0.19335372877473758,0.250487344994369,0.46236052176646236,0.7006129184347006
2,1.4432499343102958,0.2749801519791312,1.3967558462515242,0.236995128084237,0.28889708958943083,0.2997392349248143,0.20917134474844662,0.2756670158239223,0.4948923463774949,0.7578186390067578
3,1.3778330554836329,0.3031832444898114,1.3729863813720409,0.24485305673424484,0.2934456002795129,0.30986065940734947,0.21500351070238002,0.2884991935012128,0.5038503850385039,0.776991984912777
4,1.3536496951374448,0.3167744130656686,1.3652698576272368,0.2611975483262612,0.29216641047862363,0.31545226178837255,0.22473491341805385,0.3079185313813723,0.5186232909005186,0.7884645607417885
5,1.3399850186461209,0.32877773997202375,1.361702270090402,0.2666980983812667,0.29621903139211825,0.3204971033389291,0.22619558890226835,0.31640584097665975,0.5192519251925193,0.7846927549897847
6,1.33154090518226,0.3379078295716608,1.3607056365154757,0.2816281628162816,0.2969162086897593,0.3198369323481375,0.2362671186493986,0.33371790365459864,0.5431400282885431,0.812981298129813
7,1.3239432365510069,0.33732184038410645,1.3605400269349641,0.2765990884802766,0.2955348754714878,0.3159535884629077,0.23399817206490417,0.32306949080219477,0.5316674524595316,0.7934936350777935
8,1.3181206223680852,0.35100752334505314,1.3602250372297486,0.27848499135627847,0.2984477201299218,0.3195118021864998,0.2357060114256182,0.3278737291762141,0.534967782492535,0.804023259468804
9,1.3131661339385907,0.3462629012135647,1.3606404902592932,0.28634292000628636,0.2959312554043009,0.31397555448139663,0.23789823370231827,0.3373478075684894,0.5623133741945623,0.8214678610718215
10,1.3084676423364314,0.3519715700729651,1.3607913299530872,0.29514380009429514,0.2958827555602629,0.3164181605629157,0.24137487670662489,0.3498855071943913,0.5690711928335691,0.8249253496778249
11,1.304144025182441,0.3593058863559034,1.3614379010934154,0.29168631148829166,0.29456443884597366,0.31594258784172174,0.2377877636200159,0.3488474298236481,0.5703284614175703,0.8282256797108283
12,1.3008098192311592,0.357604627424294,1.36379498572127,0.2935722143642936,0.29519226527698,0.31728367627733156,0.24111009700655128,0.346920321850351,0.5659280213735659,0.8206820682068207
13,1.2978058083513222,0.3546368757324865,1.3656098778360617,0.30504479019330505,0.2932672868520861,0.30953544755464196,0.24385152307442812,0.36199694196971866,0.5862014772905862,0.8389124626748389
14,1.2944519327320605,0.360326641714869,1.3672189295301267,0.31337419456231336,0.2955835364540235,0.3172002988057483,0.2502401627596823,0.3683475972051633,0.5915448687725915,0.837026559798837
15,1.2913598120404093,0.36344561642281953,1.3655399056176392,0.29954424013829956,0.2928979193304229,0.3120273724098366,0.24207258277760113,0.35478026677172225,0.5833726229765833,0.8368694012258369
16,1.2890769157521076,0.36268950134210426,1.3686971534409464,0.29875844727329876,0.2947319798097441,0.3167882304552774,0.24371418836655473,0.3516003561496331,0.5786578657865786,0.8313688511708314
