epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,2.083040114517388,0.22261918263959773,2.0794075769241287,0.09633820524909634,0.13044550566415383,0.13346400691484384,0.07377336199864176,0.09537582428091727,0.25176803394625175,0.37922363664937925
2,2.0731380302907567,0.15506030017768704,2.0758852661545877,0.16485934307716485,0.14008403174383408,0.14489502326013282,0.10460371332100164,0.20034626230624844,0.3179317931793179,0.4644035832154644
3,2.060874443289274,0.1106952478167177,2.069082478803976,0.036932264655036934,0.14168334345258246,0.15513867997881978,0.04457435158719088,0.03806053700485115,0.1559013044161559,0.27125569699827123
4,2.040898257052532,0.09011001474424407,2.065521865300969,0.04369008329404369,0.15124035877955833,0.1592587277281659,0.03732604796981045,0.03891344675222632,0.13342762847713344,0.24893917963224893
5,2.0255835511671707,0.0753846735473139,2.0773907917279897,0.056105610561056105,0.12384610925579717,0.15737445652309556,0.05756672644263636,0.06115984567310366,0.16847399025616847,0.30347320446330345
6,1.9949056430690604,0.08101773089864277,2.0881947360472655,0.055948451988055946,0.13487167572060751,0.16647411641016957,0.05393991984282846,0.066315544290489,0.16564513594216565,0.31478862171931477
7,1.963172111942621,0.09162224490567464,2.109196445467186,0.06034889203206035,0.14055869895459008,0.16015153632236656,0.05689230316439608,0.07524365274462326,0.17098852742417098,0.34574886060034576
8,1.9175148893631202,0.09417413330308873,2.157155910902909,0.0638063806380638,0.14385247658176992,0.15704552570745078,0.06064939454601648,0.07739031689033105,0.173974540311174,0.34354864057834356
9,1.8797828626832793,0.10317190276360062,2.171947413638911,0.05641992770705642,0.1441127775027412,0.16117350313589246,0.056286358856178775,0.06679164304061477,0.1768033946251768,0.3492063492063492
10,1.8480618829912132,0.09640467279119883,2.245889545854637,0.06412069778406412,0.13957332486203,0.1403126320847451,0.059343745781245606,0.07458694148051184,0.19016187333019016,0.3795379537953795
