label,class_id,class_weight,train_count
SINGLE,0,0.10498071,8509
DOUBLE,1,0.47590882,1877
TRIPLE,2,4.1547947,215
HR,3,1.0093569,885
BB,4,0.23814473,3751
SO,5,0.087089874,10257
HBP,6,1.8965623,471
OUT,7,0.033161853,26937
