,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,139,5,0,5,57,162,0,443
DOUBLE,34,3,0,2,14,28,0,100
TRIPLE,0,0,0,0,1,5,0,15
HR,11,1,0,2,13,21,0,39
BB,57,2,0,3,33,72,0,177
SO,141,6,0,3,53,323,1,458
HBP,10,0,0,0,6,13,0,24
OUT,366,13,0,11,135,543,3,1360
