model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,test_loss,best_epoch,best_valid_loss,best_valid_macro_f1,loss_name,focal_gamma
lightgbm_cw,0.3785874211276206,0.15784066945635805,0.1492807508325888,0.14759335225201253,0.36482054906044664,0.6541827803785875,0.8310604518624058,,,,,,
fm_cw,0.2705068186444128,0.13995051046692247,0.14511822819042053,0.13635097558403908,0.29528749809291943,0.5371463464278445,0.7406879706900061,3.492914761493387,26.0,3.409486851264298,0.14873684451988195,,
seqfm_cw_ce,0.16405454915530227,0.1347023338908406,0.14341069167061213,0.10106794980923053,0.19896064492227503,0.3277020150620802,0.4819865662527987,2.070020258802759,2.0,2.0758852661545877,0.10460371332100164,cross_entropy,
seqfm_cw_focal,0.1337268471402402,0.12826695319130874,0.13720437406639835,0.08064468803360676,0.12570571598828437,0.2464889069814777,0.36189700793812335,0.22419909263928603,1.0,0.23055448968437095,0.0829555093144276,focal,2.0
