,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,187,56,0,32,107,182,11,236
DOUBLE,53,12,1,9,16,33,1,56
TRIPLE,1,3,0,0,6,4,0,7
HR,13,8,1,7,12,15,2,29
BB,87,21,1,18,61,70,2,84
SO,190,53,4,31,120,250,25,312
HBP,12,3,1,3,7,9,1,17
OUT,519,169,16,92,296,489,39,811
