,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,376,135,43,83,38,34,42,60
DOUBLE,83,26,10,18,9,6,13,16
TRIPLE,12,2,2,2,0,1,1,1
HR,31,14,2,15,5,2,8,10
BB,136,67,16,46,15,10,25,29
SO,415,165,71,97,48,53,78,58
HBP,20,9,5,5,4,3,3,4
OUT,1070,369,182,242,107,129,165,167
