variant,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,no_run_precision,no_run_recall,no_run_f1,run_scored_precision,run_scored_recall,run_scored_f1,run_scored_pred_count,log_loss,roc_auc,pr_auc,n_categorical_features,n_numeric_features,n_total_features,best_epoch,best_valid_loss,best_iteration
lgbm_step2a_raw_32_features,lightgbm,0.6550255536626917,0.5425631081778237,0.5506203242950476,0.5431314048514724,0.6698548986858653,0.8045292014302742,0.7368995633187773,0.7692307692307693,0.28059701492537314,0.3643410852713178,0.31703204047217537,335,0.6232786661079045,0.5900528079618158,0.26034109396236976,8,24,32,,,579.0
fm_step2a_raw_32_features,fm,0.5332197614991482,0.539445412311266,0.5574836667682204,0.4967600632030162,0.5726793083892657,0.8205574912891986,0.5141921397379913,0.6322147651006711,0.25833333333333336,0.6007751937984496,0.3613053613053613,600,0.6966102373686597,0.577963677600623,0.25852165809218436,8,24,32,12.0,1.0539089892922315,
fm_step2a_binned_features,fm,0.5110732538330494,0.5527592012900778,0.5753105852882434,0.48900010616194245,0.5485252338979604,0.8406374501992032,0.4606986899563319,0.5952045133991537,0.2648809523809524,0.689922480620155,0.3827956989247312,672,0.697597616509685,0.5925683795403,0.26440818617394507,30,0,30,4.0,1.0402444490945961,
fm_step2a_binned_cross_features,fm,0.5425894378194208,0.5397291406048187,0.5579195017094885,0.502043756531135,0.5816827364943948,0.8195615514333895,0.5305676855895196,0.6441351888667992,0.25989672977624784,0.5852713178294574,0.3599523241954708,581,0.6783345974778734,0.5916840154361734,0.2630450476753504,42,0,42,2.0,1.0494310014857506,
