variant,task,model,n_categorical_features,n_numeric_features,n_total_features,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,log_loss,roc_auc,pr_auc,best_epoch,best_valid_loss,roc_auc_ovr_macro
all_29_features,binary_run_scored,fm,7,22,29,0.5562180579216355,0.5457793859075519,0.5666531261636369,0.5126554189988646,0.5943198532187598,1.0,1.0,0.6841490621976074,0.5777182559832098,0.25567205752665156,7.0,0.6505918639251985,
all_29_features,three_class_runs,fm,7,22,29,0.41396933560477,0.3655227504670809,0.38805977312563034,0.3134969357264349,0.48414427373425206,0.6592844974446337,1.0,1.0470273435210289,,,8.0,1.059451791336897,0.5851036968037132
selected_19_features,binary_run_scored,fm,7,12,19,0.5434412265758092,0.5545052900825486,0.579347347753969,0.5101631585502553,0.5817218799908254,1.0,1.0,0.6809601120180018,0.602884550286043,0.27037983688698053,6.0,0.6405242360739344,
selected_19_features,three_class_runs,fm,7,12,19,0.4199318568994889,0.36542619579688096,0.39999158458348294,0.31934995395798965,0.4856580139762906,0.6805792163543442,1.0,1.0351908198936624,,,9.0,1.0474621876176582,0.6008001287712456
binned_features,binary_run_scored,fm,26,0,26,0.5034071550255537,0.5526767273716333,0.5745743204360042,0.48376532524786264,0.540203421290311,1.0,1.0,0.708722219728606,0.5917432551369284,0.27551688251785383,5.0,0.6435063671235898,
binned_features,three_class_runs,fm,26,0,26,0.4335604770017036,0.3898375463392436,0.43872255292179324,0.3279425797485702,0.49326754424796204,0.6729131175468483,1.0,1.0590133220733524,,,6.0,1.0333793847915158,0.591319025416947
