,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,2,0,0,0,0,2,0,807
DOUBLE,1,0,0,0,0,0,0,180
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,2,0,85
BB,3,0,0,0,0,1,0,340
SO,2,0,0,0,0,21,0,962
HBP,0,0,0,0,0,0,0,53
OUT,2,0,0,0,0,11,0,2418
