,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,0,0,0,0,1,2,0,808
DOUBLE,0,0,0,0,0,0,0,181
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,1,0,86
BB,0,0,0,0,0,1,0,343
SO,0,0,0,0,0,22,0,963
HBP,0,0,0,0,0,0,0,53
OUT,0,0,0,0,0,17,0,2414
