model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,test_loss,best_epoch,best_valid_loss
lightgbm,0.4968451048239365,0.15806061918885592,0.12730478682710036,0.08858826364375123,0.3369727417397776,0.7195196417667413,0.860166904131895,,,
fm,0.4958273967026257,0.12592719960643273,0.12691775229846297,0.0880214274292415,0.3358334357948771,0.7160594341542845,0.8583350295135355,1.4014862123342242,12.0,1.412624397387243
