,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,11,0,0,0,0,2,0,798
DOUBLE,4,0,0,0,0,0,0,177
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,1,0,86
BB,8,0,0,0,0,2,0,334
SO,1,0,0,0,0,22,0,962
HBP,0,0,0,0,0,1,0,52
OUT,3,0,0,0,0,13,0,2415
