,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,40,0,0,0,0,19,0,752
DOUBLE,13,0,0,0,0,3,0,165
TRIPLE,0,0,0,0,0,1,0,20
HR,1,0,0,0,0,3,0,83
BB,32,0,0,0,0,4,0,308
SO,8,0,0,0,0,53,0,924
HBP,5,0,0,0,0,2,0,46
OUT,31,0,0,0,0,54,0,2346
