feature,importance_gain,importance_split
batter_id,699117.0534180403,32483
pitcher_id,675507.5222468376,31352
inning_out_state,122882.9117178917,9515
previous_result5,66053.27273654938,5143
previous_result4,64323.97288441658,4879
previous_result1,63260.372393131256,4745
previous_result2,62694.732915997505,4803
previous_result3,62139.41929876804,4911
bat_order_runner_state,56712.75625491142,3464
base_out_state,12588.89066529274,479
bat_order,9417.120176315308,210
out_count,8217.256542682648,124
xbh_matchup_index,5675.869074821472,435
stadium_id,4979.90938270092,493
single_matchup_index,4551.204987287521,523
pitcher_team_id,4192.753514766693,477
batter_team_id,4090.3232296705246,483
pitcher_xbh_rate_allowed,3848.1067513227463,459
bb_matchup_index,3571.0281410217285,479
is_leadoff_batter_in_inning,3259.477412700653,136
pitcher_bf_count,3185.22017455101,514
batter_pa_count,3142.8445975780487,499
batter_out_rate,2816.1613008975983,514
batter_xbh_rate,2541.5415461063385,314
vs_xbh_rate,2483.2657101154327,313
pitcher_out_rate,2457.360588669777,409
vs_pa_count,2360.50596511364,452
batter_hit_rate,2360.36976146698,402
pitcher_recent_bf_ops,2338.368092775345,416
batter_single_rate,2318.642963051796,335
pitcher_bb_rate,2266.70168697834,364
vs_hit_rate,2260.1549711227417,393
pitcher_single_rate_allowed,2186.903211593628,333
season_progress,2126.612392425537,331
pitcher_bf_in_game,2097.384430885315,362
pitcher_hit_rate_allowed,2096.567730307579,356
batter_onbase_event_rate,2091.559094429016,323
batter_vs_rhp_ops,2004.2552021741867,294
batter_obp,1993.4529941082,354
batter_bb_rate,1972.8489698171616,287
pitcher_vs_lhb_ops,1875.4562048912048,319
batter_recent_10pa_ops,1874.0936232805252,338
batter_avg,1828.6568754911423,304
pitcher_groundout_rate,1784.0422430038452,306
pitcher_onbase_event_rate_allowed,1781.9686566591263,274
pitcher_flyout_rate,1756.1659270524979,294
batter_vs_rhp_avg,1749.7280315160751,291
vs_ops,1727.873929977417,317
batter_groundout_rate,1680.111545085907,252
batter_slg,1663.987673163414,254
vs_bb_rate,1657.3145297765732,288
pitcher_k9,1587.8698180913925,286
pitcher_vs_rhb_avg,1571.7314431667328,236
pitcher_ops,1511.6840000152588,252
batter_k_rate,1491.8910632133484,282
batter_iso,1476.0665640830994,223
batter_flyout_rate,1460.8490725755692,293
pitcher_vs_lhb_avg,1448.0347765684128,234
pitcher_hr_rate,1417.7653334140778,247
batter_ops,1410.3428320884705,232
score_diff,1402.5275559425354,178
pitcher_k_rate,1396.1960636377335,234
pitcher_vs_rhb_ops,1322.7467495203018,229
batter_vs_lhp_ops,1309.54008102417,235
pitcher_gdp_rate,1298.4177634716034,257
is_no_out_runner_on,1280.5768463611603,12
batter_vs_lhp_avg,1271.3277235031128,222
pitcher_whip,1271.181913971901,213
batter_gdp_rate,1236.5505212545395,232
batter_hr_rate,1206.144888997078,197
pitcher_recent_bf_avg,1193.6189695596695,194
pitcher_era,1192.548111319542,225
batter_recent_5pa_ops,1094.6940673589706,182
vs_k_rate,992.4136400222778,130
batting_turn_in_game,913.8873889446259,85
inning,833.0782625675201,101
batter_recent_10pa_avg,788.0049375295639,155
runner_count,775.467432975769,33
is_two_out,683.7129570245743,19
days_since_last_game_batter,673.1262100934982,101
days_since_last_game_pitcher,538.1264827251434,100
is_bottom_order,520.97558426857,14
pitcher_recent_bf_k_rate,489.2555900812149,87
batter_recent_10pa_k_rate,470.13546907901764,101
pitcher_recent_bf_bb_rate,366.9081600904465,66
pitcher_batter_times_faced_in_game,329.4177597761154,54
vs_hr_rate,259.31632137298584,35
batter_recent_10pa_bb_rate,229.75604009628296,38
Home_Away_id,137.33567917346954,26
is_cleanup,115.38187026977539,10
month,92.8996000289917,21
runner1,54.00188958644867,9
is_interleague,52.99272930622101,13
batter_hand,45.43597960472107,4
top_bottom,38.31913995742798,6
runner2,32.96708035469055,8
runner3,31.178730726242065,5
pitcher_hand,4.760509967803955,1
