task,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,log_loss,roc_auc,pr_auc,best_epoch,best_valid_loss,roc_auc_ovr_macro
binary_run_scored,lightgbm,0.6439522998296422,0.5447945409295027,0.5560534511357097,0.5438344041882325,0.6636118138828645,1.0,1.0,0.6280625487411939,0.5993111269083646,0.2719672983808311,,,
binary_run_scored,fm,0.5562180579216355,0.5457793859075519,0.5666531261636369,0.5126554189988646,0.5943198532187598,1.0,1.0,0.6841490621976074,0.5777182559832098,0.25567205752665156,7.0,0.6505918639251985,
three_class_runs,lightgbm,0.6643952299829642,0.36455409513661946,0.3613802729487751,0.3622947408793577,0.6613376351615319,0.879045996592845,1.0,0.845711819177032,,,,,0.6002974152893868
three_class_runs,fm,0.41396933560477,0.3655227504670809,0.38805977312563034,0.3134969357264349,0.48414427373425206,0.6592844974446337,1.0,1.0470273435210289,,,8.0,1.059451791336897,0.5851036968037132
