model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,test_loss,best_epoch,best_valid_loss
lightgbm,0.651129656014655,0.2888185037680957,0.27102188146393386,0.2612907795015007,0.5875424059942856,0.851414614288622,0.9373091797272542,,,
fm,0.2910645226948911,0.29096264972194696,0.3193796631395082,0.23550855782656172,0.3473648084126077,0.5644209240789742,0.8347242010991248,1.364414827658158,8.0,1.3559964638020132
