epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_precision,valid_weighted_recall,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,2.3498830956991967,0.13500434766171412,2.1384272827173616,0.12855571271412855,0.1407500791057658,0.1509906803453087,0.09652593295792772,0.34602473386894683,0.12855571271412855,0.1626957033238291,0.27927078422127927,0.44114411441144114
2,1.9543226724094418,0.1737930513024082,2.103600373568633,0.15322960867515323,0.15143357469231833,0.1875097622206127,0.11330077650428498,0.3674983078396997,0.15322960867515323,0.18665263938480434,0.32327518466132327,0.48184818481848185
3,1.754336996604164,0.211031719027636,2.1093420103325813,0.15904447587615905,0.15150081658538467,0.194513934604037,0.11813116242668592,0.3572979684241633,0.15904447587615905,0.18889450554801734,0.33773377337733773,0.5038503850385039
4,1.5869706048347483,0.2453026350610563,2.1368353263810618,0.1764890774791765,0.15211295431400162,0.17968430353345155,0.1230994351044535,0.36105549723938823,0.1764890774791765,0.21183560694677814,0.36712242652836713,0.5465975168945466
5,1.4617449762257757,0.273411213186647,2.1886733803905707,0.1893760804651894,0.15260900571203567,0.19392592110321252,0.13091056614312974,0.3567227175956703,0.1893760804651894,0.2214828656562849,0.396982555398397,0.5785007072135785
6,1.351398245102381,0.30032891006011114,2.2333514678783617,0.1933050447901933,0.15266523347334665,0.18883829085300846,0.1310765102159303,0.36035657730677345,0.1933050447901933,0.22880093161882106,0.41002671695741005,0.5957881502435958
7,1.2618576199078821,0.32201050999962194,2.287971330217346,0.20147729058620148,0.15121428380035332,0.17944039261859185,0.1323169663248957,0.3573592304349248,0.20147729058620148,0.2369286570879584,0.42825711142542827,0.6193619361936193
8,1.1852107345032596,0.34412687611054404,2.3516871352887425,0.20242024202420242,0.15166369636229,0.17660463922075081,0.1337522215474074,0.35540912530142116,0.20242024202420242,0.23456202248315078,0.4233851956624234,0.6192047776206192
9,1.1081103664333078,0.36637556236059127,2.408755007618987,0.20666352349520667,0.15118681957596103,0.17291510193169043,0.13401205369555702,0.3565994547029062,0.20666352349520667,0.24036134477795568,0.4325003928964325,0.6306773534496307
10,1.057403583926995,0.3846168386828475,2.482477749741042,0.225994027974226,0.15256273472517093,0.16551676391577264,0.13821589619069274,0.36302227630921025,0.225994027974226,0.2595385889660503,0.45403111739745405,0.6550369322646551
11,0.996751626174863,0.40605270122112586,2.524307794584412,0.22520823510922522,0.15183028802215218,0.16310376921994746,0.1365966537874464,0.3633445514413102,0.22520823510922522,0.2615879622502896,0.4523023730944523,0.6490649064906491
12,0.9442887597600345,0.42183660353105745,2.605930631722404,0.2270941379852271,0.1520147041277542,0.16841256365392898,0.139793063987396,0.3583161908459261,0.2270941379852271,0.2576020943045454,0.45528838598145527,0.6619519094766619
