,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,205,63,2,41,87,156,11,246
DOUBLE,46,17,0,10,16,34,3,55
TRIPLE,4,2,0,0,1,7,0,7
HR,22,4,1,9,12,19,2,18
BB,84,31,1,19,52,63,4,90
SO,162,54,1,39,109,281,27,312
HBP,12,7,0,1,7,9,3,14
OUT,482,172,18,94,269,514,47,835
