,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,146,5,0,3,52,174,0,431
DOUBLE,25,2,0,0,12,37,0,105
TRIPLE,0,1,0,0,1,8,0,11
HR,13,1,0,2,11,19,0,41
BB,49,2,0,4,29,80,0,180
SO,124,6,0,4,45,324,0,482
HBP,9,0,0,0,5,13,0,26
OUT,339,9,0,9,118,530,3,1423
