model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,top2_accuracy,top3_accuracy,test_loss,best_epoch,best_valid_loss,best_valid_macro_f1
lightgbm_cw,0.39202116832892325,0.16022518780276762,0.151581880850013,0.1495037047348794,0.36176353806347217,0.39202116832892325,0.37411644438642455,0.6592713209851414,0.8363525340932221,,,,
fm_cw,0.28536535721555056,0.15078867578349733,0.16083388523863248,0.149085977810047,0.35674406832075983,0.28536535721555056,0.3096503522021312,0.5424384286586607,0.7280683899857521,3.2125956309974835,21.0,3.1260790421343367,0.14958132266190308
