,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,20,0,0,0,0,12,0,779
DOUBLE,10,0,0,0,0,3,0,168
TRIPLE,0,0,0,0,0,1,0,20
HR,1,0,0,0,0,3,0,83
BB,17,0,0,0,0,4,0,323
SO,4,0,0,0,0,33,0,948
HBP,2,0,0,0,0,0,0,51
OUT,17,0,0,0,0,27,0,2387
