,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,11,0,0,0,0,8,0,792
DOUBLE,4,0,0,0,0,0,0,177
TRIPLE,0,0,0,0,0,1,0,20
HR,0,0,0,0,0,2,0,85
BB,10,0,0,0,0,3,0,331
SO,2,0,0,0,0,37,0,946
HBP,0,0,0,0,0,0,0,53
OUT,3,0,0,0,0,17,0,2411
