model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,test_loss,best_epoch,best_valid_loss
lightgbm,0.6983513128434765,0.2796251459578268,0.2569746850247042,0.2203012538079855,0.5822624820440873,0.8615916955017301,0.9413800122124975,,,
fm,0.6944840219824954,0.24707276689686403,0.25464386422637214,0.21724362262794206,0.579004659324732,0.8617952371259923,0.9413800122124975,0.9033412251408416,13.0,0.9209414673979395
