variant,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,no_run_precision,no_run_recall,no_run_f1,run_scored_precision,run_scored_recall,run_scored_f1,run_scored_pred_count,log_loss,roc_auc,pr_auc,n_categorical_features,n_numeric_features,n_total_features,best_iteration
score_context_28_features,lightgbm,0.6643952299829642,0.5403032302570409,0.5454876273653566,0.5413935190142493,0.6745105022665756,0.8013856812933026,0.75764192139738,0.7789001122334456,0.2792207792207792,0.3333333333333333,0.303886925795053,308,0.6225149044013057,0.589172675264886,0.2663794216875722,8,20,28,745
lineup_vs_pitcher_hand_32_features,lightgbm,0.6550255536626917,0.5425631081778237,0.5506203242950476,0.5431314048514724,0.6698548986858653,0.8045292014302742,0.7368995633187773,0.7692307692307693,0.28059701492537314,0.3643410852713178,0.31703204047217537,335,0.6232786661079045,0.5900528079618158,0.2573999993414889,8,24,32,579
step2b_run_expectancy_proxy_42_features,lightgbm,0.6678023850085179,0.5349625526603214,0.5379261027047155,0.5358272506082725,0.6745487177574122,0.7975113122171946,0.769650655021834,0.7833333333333333,0.27241379310344827,0.3062015503875969,0.28832116788321166,290,0.608845207825345,0.5929343962628211,0.26575257016472037,8,34,42,759
step2a_plus_step2b_46_features,lightgbm,0.6712095400340715,0.5316080823730673,0.5331488439795539,0.5321820711982128,0.6751196875950801,0.7951002227171492,0.7794759825327511,0.7872105843439912,0.26811594202898553,0.2868217054263566,0.27715355805243447,276,0.6141980085025962,0.5908927422903761,0.26724935420806806,8,38,46,861
