epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,1.318270224075246,0.5013421042682696,1.0247287314286233,0.6660380323746661,0.2313740170422862,0.24870412937129088,0.21378470944583391,0.5578842455338642,0.8228822882288229,0.9256639949709257
2,0.9657867037165183,0.6888775471626781,0.9656239415459076,0.6841112682696842,0.23884226761555466,0.25056430075705216,0.20632890019869207,0.5594600869013098,0.8475561841898476,0.9313217035989313
3,0.9161234468572068,0.7000491474802465,0.9458313698609745,0.6856828539996856,0.17150157232704402,0.24988545246277205,0.2034032634032634,0.5581362531857581,0.8522709413798523,0.9317931793179318
4,0.8965319381522382,0.7022040754602851,0.9364952535144416,0.6856828539996856,0.17150157232704402,0.24988545246277205,0.2034032634032634,0.5581362531857581,0.851956624233852,0.9336790821939337
5,0.8858134825104986,0.7025632301236249,0.9307338907136756,0.6858400125726858,0.17148695378811696,0.24994272623138603,0.20341195115130045,0.5581600922680663,0.8513279899418513,0.9361936193619362
6,0.8788826101998302,0.7029412876639825,0.9275375076683928,0.6856828539996856,0.17147461091023425,0.24988545246277205,0.20338429983218348,0.5580842173612955,0.8505421970768505,0.9377652050919377
7,0.8737618592253147,0.7034705682204832,0.9263085853223547,0.6856828539996856,0.23398922786601667,0.2500642504599749,0.20384597300329169,0.5583734962965181,0.8511708313688512,0.9387081565299387
8,0.8697164782657185,0.7036595969906619,0.9235977559049943,0.6853685368536854,0.25488342785129176,0.25066489491155824,0.20563214326873788,0.5594145998062448,0.8525852585258525,0.9377652050919377
9,0.8665945730557816,0.7037730142527693,0.9230432529204412,0.6858400125726858,0.26663844822142135,0.2519095042006172,0.20848537418285382,0.561575572611464,0.8521137828068521,0.9369794122269369
10,0.8636872881297366,0.7044157120713772,0.9222664993251062,0.6852113782806852,0.25810768574376886,0.25364718709539247,0.2131897901011317,0.5646333684443706,0.8524280999528524,0.9371365707999372
11,0.8613296963962047,0.7045669350875203,0.9227469789987462,0.6845827439886846,0.24788429522752498,0.2525241020349224,0.21091229889539534,0.5628976860571686,0.8511708313688512,0.9368222536539368
12,0.8593583411789315,0.7052852444141998,0.9221548014947608,0.6844255854156844,0.24517421833598307,0.25318202025511977,0.21266251507679362,0.5642492978896096,0.8517994656608519,0.9374508879459374
13,0.8575969848361142,0.7053986616763072,0.9219434201651805,0.6852113782806852,0.25861681563316335,0.2554351670674208,0.2173871021670533,0.5676429572795983,0.8514851485148515,0.9372937293729373
14,0.8559968559927924,0.7053041472912177,0.9223974250911561,0.6845827439886846,0.2511369396575658,0.2544908800041536,0.21561681775870215,0.5663054133873978,0.8489706113468489,0.9376080465189376
15,0.8544004262631649,0.7055120789384144,0.9221268046413711,0.6848970611346848,0.2534889046943973,0.25532061953019286,0.21733593213221764,0.5676521057868591,0.8499135627848499,0.9376080465189376
16,0.8530232984444346,0.7058145249707005,0.9222439438521478,0.6852113782806852,0.2539355183585953,0.2559715610590293,0.2186593056398223,0.5688335902198622,0.8502278799308502,0.937922363664938
17,0.8519065279707531,0.7061547767570224,0.9227318967473445,0.6856828539996856,0.25856611019212644,0.2573949683452911,0.2215488026873581,0.5710039183537207,0.8494420870658494,0.9377652050919377
18,0.8507888090551465,0.7063059997731654,0.9239506271019233,0.6858400125726858,0.2597984084379253,0.2583462320999192,0.22350888326126703,0.5724362007317879,0.8489706113468489,0.9369794122269369
19,0.8496807314809575,0.7063059997731654,0.9236104391139389,0.6858400125726858,0.25919563756303143,0.2583462320999192,0.22351169305062968,0.572478082706688,0.8491277699198492,0.9365079365079365
20,0.8488975591769692,0.7064383199122907,0.9249934051165355,0.6850542197076851,0.25457410365107325,0.2571658732708352,0.2213664911834205,0.5706901399190549,0.8495992456388496,0.9374508879459374
21,0.8478950536195634,0.7061736796340403,0.9245093853316666,0.6853685368536854,0.25735182462703776,0.2583532087912801,0.2237561759192375,0.5724882756727372,0.8494420870658494,0.9369794122269369
