チーム名,背番号,選手名,投打
ソフトバンク,65,藤田　悠太郎,右右
ソフトバンク,0,川瀬　晃,右左
ソフトバンク,4,J.ダウンズ,右右
ソフトバンク,5,山川　穂高,右右
ソフトバンク,6,今宮　健太,右右
ソフトバンク,8,牧原　大成,右左
ソフトバンク,23,周東　佑京,右左
ソフトバンク,24,栗原　陵矢,右左
ソフトバンク,25,庄子　雄大,右左
ソフトバンク,33,廣瀬　隆太,右右
ソフトバンク,36,イヒネ　イツア,右左
ソフトバンク,43,井上　朋也,右右
ソフトバンク,46,宇野　真仁朗,右右
ソフトバンク,52,秋広　優人,右左
ソフトバンク,52,(砂川)リチャード,右右
ソフトバンク,67,石見　颯真,右左
ソフトバンク,99,野村　勇,右右
ソフトバンク,3,近藤　健介,右左
ソフトバンク,7,中村　晃,左左
ソフトバンク,9,柳田　悠岐,右左
ソフトバンク,30,佐藤　直樹,右右
ソフトバンク,31,正木　智也,右右
ソフトバンク,32,柳町　達,右左
ソフトバンク,44,笹川　吉康,左左
ソフトバンク,57,緒方　理貢,右左
ソフトバンク,61,川村　友斗,右左
ソフトバンク,77,山本　恵大,右左
