variant,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,no_run_precision,no_run_recall,no_run_f1,run_scored_precision,run_scored_recall,run_scored_f1,run_scored_pred_count,log_loss,roc_auc,pr_auc,n_categorical_features,n_numeric_features,n_total_features,best_iteration
score_context_28_features,lightgbm,0.6643952299829642,0.5403032302570409,0.5454876273653566,0.5413935190142493,0.6745105022665756,0.8013856812933026,0.75764192139738,0.7789001122334456,0.2792207792207792,0.3333333333333333,0.303886925795053,308,0.6225149044013057,0.589172675264886,0.2663794216875722,8,20,28,745
lineup_vs_pitcher_hand_32_features,lightgbm,0.6550255536626917,0.5425631081778237,0.5506203242950476,0.5431314048514724,0.6698548986858653,0.8045292014302742,0.7368995633187773,0.7692307692307693,0.28059701492537314,0.3643410852713178,0.31703204047217537,335,0.6232786661079045,0.5900528079618158,0.2573999993414889,8,24,32,579
step2c_plus_selected_lineup_44_features,lightgbm,0.6507666098807495,0.5368227830054177,0.543714667749907,0.5369736194052823,0.6656261756473054,0.8011904761904762,0.7347161572052402,0.7665148063781321,0.27245508982035926,0.35271317829457366,0.30743243243243246,334,0.60935946912518,0.6003457059679767,0.2761226161033791,8,36,44,523
