variant,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,non_so_out_precision,non_so_out_recall,non_so_out_f1,test_loss,best_epoch,best_valid_loss,n_categorical_features,n_numeric_features,n_total_features,non_so_out_pred_count
raw_69_features,fm,0.2857724404640749,0.29771588361357293,0.32682871960095095,0.23825233512674993,0.33491948831988155,0.5438632200284959,0.8052106655811113,0.3329820864067439,0.8443553774215097,0.47761194029850745,1.363870243470052,8,1.3602250372297486,16,77,93,3796
binned_numeric_features,fm,0.2794626501119479,0.2944537649344082,0.3202711021547385,0.2322494968129112,0.3330793589882375,0.5357215550580093,0.8107062894361897,0.3314785373608903,0.8356713426853707,0.47467273762094475,1.359760541186031,2,1.3578750461635023,93,0,93,3774
binned_id_interactions,fm,0.28923264807653165,0.29100216268006396,0.32056759944371394,0.23684074699723986,0.3415985825620803,0.5796865458986362,0.8420516995725625,0.3293704404215077,0.8142952571810287,0.4690265486725664,1.3569566748328106,1,1.3585135579465153,113,0,113,3701
