epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_no_run_precision,valid_no_run_recall,valid_no_run_f1,valid_run_scored_precision,valid_run_scored_recall,valid_run_scored_f1,valid_run_scored_pred_count,valid_log_loss,valid_roc_auc,valid_pr_auc
1,1.0800525777096772,0.5027416575278082,0.8243776395458134,0.5843373493975904,0.5463059056090931,0.5639509605662285,0.5292673707389715,0.6161292157464995,0.8093567251461988,0.6017391304347826,0.6902743142144638,0.28325508607198746,0.5261627906976745,0.36826042726347913,639,0.7868679826175314,0.6059605662285137,0.2863183388503415
2,0.9225403370013828,0.5469998433338555,0.7759011882535585,0.5977242302543507,0.5523665287400505,0.5716279069767443,0.5390562474235696,0.6277736848749949,0.8129988597491448,0.62,0.7035027133695116,0.2917341977309562,0.5232558139534884,0.37460978147762747,617,0.7248036875378648,0.6195778564206269,0.29284693151573843
3,0.8316437367098319,0.567679774400752,0.7380911236307228,0.6037483266398929,0.5589229507469965,0.580634479271992,0.5462070012909105,0.6333842724023387,0.8184931506849316,0.6234782608695653,0.7077986179664363,0.2993527508090615,0.5377906976744186,0.38461538461538464,618,0.695877498308007,0.6251921132457028,0.29405428623583535
4,0.7735853981639307,0.5689331035563214,0.7066931683056485,0.5950468540829986,0.5696947496947498,0.5973938321536906,0.5495090487442503,0.626779514224316,0.8327228327228328,0.5930434782608696,0.6927374301675978,0.30666666666666664,0.6017441860465116,0.40628066732090284,675,0.6854619160109727,0.6295374115267948,0.2970545819664293
5,0.7286895462082001,0.5755914146952843,0.6856140223053724,0.5917001338688086,0.5715336361669912,0.6003134479271992,0.5489389418917501,0.623863986964596,0.835820895522388,0.5843478260869566,0.6878198567041965,0.3072463768115942,0.6162790697674418,0.41005802707930367,690,0.6712100215798388,0.634504550050556,0.30102306553275127
6,0.6975154341639872,0.5834247219175936,0.673190411634075,0.5950468540829986,0.5683099343936346,0.5953564206268958,0.5486506258130076,0.6267202708769174,0.8311057108140948,0.5947826086956521,0.6933603649265079,0.3055141579731744,0.5959302325581395,0.4039408866995074,671,0.6549524653655876,0.6392644084934277,0.30614554530869065
7,0.6813427791333247,0.5797430675231082,0.6640358789059692,0.5910307898259706,0.571209087484884,0.5998786653185035,0.5484049066096752,0.623255586070098,0.8356164383561644,0.5834782608695652,0.6871479774705581,0.3068017366136035,0.6162790697674418,0.4096618357487923,691,0.6593551286017854,0.644196157735086,0.30988677144291676
8,0.6677152589628843,0.586323045589848,0.660625377891852,0.6004016064257028,0.5757897629581149,0.6059656218402427,0.5558856290397832,0.631741607418327,0.8384332925336597,0.5956521739130435,0.6964921199796644,0.31314623338257014,0.6162790697674418,0.4152791380999021,677,0.6520353056884547,0.6461046511627907,0.3112836499264345
9,0.6541983703638382,0.6007363308788971,0.6590961003239694,0.5876840696117804,0.5702923644008006,0.5987234580384226,0.5461412060370897,0.6202198521459409,0.835427135678392,0.5782608695652174,0.6834532374100719,0.30515759312320917,0.6191860465116279,0.4088291746641075,698,0.6556188869425431,0.6473584428715875,0.31158032221502174
10,0.650263926601141,0.5975246749177503,0.6574563171809298,0.5937081659973227,0.5732053836237594,0.6026365015166835,0.5509525801987111,0.6257052963672163,0.8372670807453416,0.5860869565217391,0.6895140664961636,0.30914368650217705,0.6191860465116279,0.41239109390125844,689,0.6503373204975823,0.6493326592517694,0.31384643891495523
