epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_no_run_precision,valid_no_run_recall,valid_no_run_f1,valid_run_scored_precision,valid_run_scored_recall,valid_run_scored_f1,valid_run_scored_pred_count,valid_log_loss,valid_roc_auc,valid_pr_auc
11,0.6408132173397615,0.5994830017233276,0.6563400706772504,0.6024096385542169,0.5781602463994447,0.6093073811931244,0.5583251876817841,0.6336049915020825,0.8406862745098039,0.5965217391304348,0.6978636826042727,0.31563421828908556,0.622093023255814,0.4187866927592955,678,0.6426252310064728,0.6514914054600607,0.31552498197711676
12,0.6375889584559847,0.6132696224345919,0.6546046842373359,0.5963855421686747,0.5793802467136341,0.6115065722952477,0.5559171561172906,0.6282398150029127,0.8440251572327044,0.5834782608695652,0.6899742930591259,0.3147353361945637,0.6395348837209303,0.4218600191754554,699,0.6494890804186446,0.6515950455005054,0.31532761017504163
13,0.626842861225589,0.6092746357512142,0.6538249531105021,0.5943775100401606,0.579812628521304,0.6122396359959555,0.5550818222025653,0.626415886160002,0.8451776649746193,0.5791304347826087,0.6873065015479877,0.31444759206798867,0.6453488372093024,0.4228571428571429,706,0.6467397265108884,0.6533594539939334,0.3171110235582344
14,0.6231311943096631,0.6105279649067836,0.6543273759813832,0.5990629183400268,0.5772062472368338,0.6081521739130435,0.5560565945914573,0.6306008890889777,0.8405438813349815,0.591304347826087,0.6942317508933129,0.31386861313868614,0.625,0.41788143828960156,685,0.6405085084194434,0.6537664307381194,0.3190578507464809
15,0.6202380788768886,0.6211029296569012,0.6558643525224453,0.5923694779116466,0.5711622646818504,0.5997295247724974,0.5490603751758838,0.6244537592040151,0.8351920693928129,0.5860869565217391,0.6888094021461421,0.3071324599708879,0.6133720930232558,0.4093113482056256,687,0.6440958109872982,0.6512335692618807,0.31650863866010565
16,0.6170858853890121,0.6245495848347172,0.6545712902364003,0.5963855421686747,0.5779859716732246,0.609469160768453,0.5551224166189714,0.62821709616416,0.8423028785982478,0.5852173913043478,0.6906105695228322,0.31366906474820144,0.6337209302325582,0.4196342637151107,695,0.6453665083213062,0.6539282103134478,0.3192030559586394
17,0.6133103248151551,0.6185962713457622,0.656401695815754,0.6024096385542169,0.5726564315593772,0.6011577350859454,0.5549227340297268,0.6333539738796018,0.8341346153846154,0.6034782608695652,0.7003027245206862,0.311178247734139,0.5988372093023255,0.4095427435387674,662,0.6364744969619951,0.6536830131445904,0.3185073670269211
18,0.6089762780204305,0.6281529061569795,0.6560099332367719,0.6017402945113789,0.5785203006215085,0.609891304347826,0.5582023532919995,0.6330244868161354,0.8413284132841329,0.5947826086956521,0.6968925114620479,0.315712187958884,0.625,0.4195121951219512,681,0.6417237873393082,0.6535591506572296,0.31981907814711646
19,0.6074281672726936,0.6334012219959266,0.6586758495175057,0.6137884872824632,0.580451099048275,0.6116051567239635,0.5652936029873401,0.6436240172997033,0.8398576512455516,0.6156521739130435,0.7104867034621174,0.3210445468509985,0.6075581395348837,0.4201005025125628,651,0.6372698784623186,0.6509656218402425,0.31851024470039424
20,0.6027423204737697,0.6360645464515118,0.6581887145597772,0.6017402945113789,0.5743851066721022,0.6037790697674419,0.5556849563272395,0.6328587662574189,0.8363636363636363,0.6,0.6987341772151898,0.312406576980568,0.6075581395348837,0.4126357354392892,669,0.6437547403869023,0.6503463094034377,0.31621620292381686
21,0.6027450261585917,0.6290929030236566,0.6596390805250829,0.6151271753681392,0.5804585326153403,0.6114560161779575,0.5659230520856966,0.6447670349199883,0.8394332939787486,0.6182608695652174,0.7120681021532298,0.321483771251932,0.6046511627906976,0.41977800201816345,647,0.6340331787145984,0.6527022244691607,0.3174942083058673
