model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,no_run_precision,no_run_recall,no_run_f1,run_scored_precision,run_scored_recall,run_scored_f1,run_scored_pred_count,log_loss,roc_auc,pr_auc,n_categorical_features,n_numeric_features,n_total_features,test_loss,best_epoch,best_valid_loss
lightgbm,0.6737649063032368,0.5477706641184902,0.5528841271453234,0.5492703894497423,0.6820376375690281,0.8045714285714286,0.7685589519650655,0.7861529871580123,0.2909698996655518,0.3372093023255814,0.3123877917414722,299,0.6105954109313889,0.5983082834027283,0.2706714235755291,7,17,24,,,
fm,0.5477001703577513,0.5515290053845372,0.5751159405571917,0.5111536305073183,0.5860683445932526,0.8324697754749568,0.5262008733624454,0.6448160535117057,0.27058823529411763,0.624031007751938,0.37749120750293086,595,0.7102675245305322,0.5824405064148134,0.26198099095586025,7,17,24,0.7135143342984799,13.0,0.6538249531105021
