epoch,train_loss,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy
1,0.8977315071931494,0.7604349379585952,0.44271570014144274,0.5039701627404417,0.50411493968195,0.44243409249735344,0.44709538825650974,1.0
2,0.733938455016062,0.7095641682831049,0.47336162187647335,0.5107020872865276,0.511931519148014,0.4693681778629878,0.4864922394208145,1.0
3,0.7006974252972692,0.6954128281623898,0.48546283199748547,0.5231080618447959,0.5257726798963912,0.48151829936995116,0.4983411979814352,1.0
4,0.688791322643232,0.6886852544826212,0.4947351878044947,0.5302366930375084,0.5338880117230632,0.4902932814164658,0.5079936053566416,1.0
5,0.6823321848883529,0.6855827178405025,0.5234952066635234,0.5321280275788873,0.5372088583428789,0.5104937532350224,0.5401701662198459,1.0
6,0.6778203126460383,0.6833088347302205,0.5024359578815024,0.53671893333551,0.5412649763165227,0.497713171838987,0.5158312181317488,1.0
7,0.6745173402835073,0.6825060935378655,0.5326104038975326,0.5401883442861907,0.546566669762546,0.51939847532723,0.549040783313871,1.0
8,0.6716929712839412,0.6814314262982755,0.5351249410655351,0.538911739746913,0.5451425652456581,0.5202889681230376,0.5516712272426905,1.0
9,0.6695701421976927,0.680565258401118,0.5205091937765205,0.5416902404526167,0.5477885101596442,0.5122094298709845,0.5358787565750853,1.0
10,0.6675390039859099,0.6803392616904008,0.5538268112525538,0.5412473943340415,0.5476460997079553,0.5310607023255313,0.5694967792372733,1.0
11,0.6659316549629783,0.6791717584976588,0.5233380480905233,0.5454290256242036,0.5520216092381041,0.5153678578927134,0.538487269900331,1.0
12,0.6645763514307892,0.6795121981778011,0.5469118340405469,0.541654719237727,0.5483055220168622,0.5279898647340402,0.5631455172838843,1.0
13,0.6634919820361487,0.6783738691496171,0.5377966368065378,0.5469997708403109,0.5544178198817373,0.52540919279597,0.5539316441315867,1.0
14,0.6624213109971498,0.6777970936151115,0.5277384881345277,0.5430746498779391,0.5496651290465724,0.5175202212105774,0.5436397004859449,1.0
15,0.6616017099481589,0.6786776408541414,0.5354392582115355,0.542783305934967,0.5495784444238052,0.5222046843735939,0.5517856440283696,1.0
16,0.660563447043592,0.6784943120108261,0.5418827597045419,0.5463227352607817,0.5537320825980621,0.5275574275718315,0.5581603708553382,1.0
17,0.659842107164031,0.6788231356327927,0.5531981769605532,0.5456456721246064,0.5528874235059802,0.5332956254961634,0.5691474819011944,1.0
18,0.6591522374868276,0.6793085392421098,0.5423542354235423,0.539353749126668,0.5456621570023632,0.524439266594091,0.5587750813465698,1.0
19,0.6587229053927551,0.6789501641655837,0.547068992613547,0.5427948686013202,0.5496413939712909,0.5286753888431396,0.5633115544155776,1.0
20,0.6580981977368738,0.6788002104105748,0.5462831997485463,0.5455531266912776,0.5528683322497756,0.5296665137547851,0.5625525469882572,1.0
21,0.6578168826857468,0.68029080064121,0.5742574257425742,0.5465810830754056,0.5527666842099832,0.5425180684529889,0.5873432824771229,1.0
22,0.6572726235412785,0.6791507350411146,0.5604274713185604,0.5475394433146384,0.5548997451059307,0.5377958699457127,0.5758420350377088,1.0
