epoch,train_loss,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy
1,0.8572636686865217,0.7810725931176342,0.5337915234822451,0.5206616446294052,0.5253912986734532,0.5032699844389775,0.5568378242200914,1.0
2,0.7360644447820804,0.7185218613445418,0.5379152348224513,0.5360739657070681,0.544492453692051,0.5140148312551842,0.5609020899062588,1.0
3,0.6969241934251598,0.6943925786673818,0.5585337915234823,0.5507755283422154,0.5625483588295066,0.5326100866276837,0.5804983313719652,1.0
4,0.6809785889702317,0.6832426570535116,0.5738831615120275,0.5611915721275473,0.5752113805222288,0.5461508602165445,0.5949586824224039,1.0
5,0.6723752057141448,0.6775747449673875,0.5752577319587628,0.5637314454153068,0.57838208835566,0.5482651823616045,0.5963053432660129,1.0
6,0.6673766473400251,0.6748948446936897,0.5761741122565864,0.5675617423485748,0.5832004922113152,0.5508224117492097,0.5972475605086199,1.0
7,0.6641803746640877,0.6737656581169688,0.581901489117984,0.5637790989323518,0.5780942659246209,0.5515258381749787,0.602303444812978,1.0
8,0.6613252837503957,0.6727638827020224,0.5725085910652921,0.5703725547173075,0.5867930288708039,0.5502530481959963,0.5937785640649899,1.0
9,0.6592675054490633,0.6721511604723106,0.5814432989690722,0.5681049952009347,0.5836759235953799,0.5538250365940056,0.6021188489791357,1.0
10,0.6574300255141874,0.6725509828308603,0.5912943871706758,0.5691855622043394,0.5843937317634775,0.5591304489609574,0.6109364868407329,1.0
11,0.6556524269432255,0.6723944612521623,0.5777777777777777,0.5708250741435661,0.5872684602548686,0.5533907091197522,0.598793692827194,1.0
12,0.6544902170608907,0.6719937766677052,0.5890034364261169,0.567812185718897,0.5827973077532604,0.5572477658873375,0.6088337525025146,1.0
13,0.6532155035894238,0.6723687528061839,0.5846506300114548,0.5673101065974785,0.5824687007672158,0.5549285323455735,0.6049659999586129,1.0
14,0.6521182468407076,0.6726112991264186,0.5844215349369989,0.5648915324780042,0.5793585871297928,0.5533663906052788,0.6046033316008795,1.0
15,0.6513750015128432,0.6725759242135362,0.5855670103092784,0.5634887565393516,0.5774522005015335,0.5530119909715757,0.6054924508377025,1.0
16,0.6502053124703226,0.672100446573784,0.5773195876288659,0.5690010609385795,0.5849821946285576,0.5521911643021388,0.5983409475685363,1.0
17,0.6494806405933479,0.6725520243486315,0.5878579610538374,0.5690206658546144,0.5844578217784863,0.5574606290437555,0.6079191373367147,1.0
18,0.6486541398713722,0.6730937978382919,0.593127147766323,0.5663581979456098,0.580507546307949,0.5580952259344925,0.6122251035249289,1.0
19,0.6479817481747865,0.673733181724024,0.5830469644902635,0.5635051445104331,0.5776631149145621,0.5518891019303238,0.6032955146160973,1.0
20,0.6473354715752769,0.673608287120876,0.5871706758304697,0.5653936079190979,0.5797990603238528,0.5549194798727974,0.6070429021056651,1.0
