epoch,train_loss,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,1.4722249810556616,1.31274733922861,0.3183183183183183,0.3574111017468103,0.3526826303927155,0.31477852997395206,0.31978333464389613,0.6906906906906907,1.0
2,1.3194890358322353,1.2178703096655157,0.3433433433433433,0.37707188644688644,0.3752884173540861,0.3386589061522893,0.3466785805172762,0.6996996996996997,1.0
3,1.2247042801351622,1.1589709639668584,0.35685685685685686,0.38752862041196084,0.3891775079390336,0.35287750184238703,0.36252861292988187,0.6876876876876877,1.0
4,1.1656588901233698,1.1269379650150333,0.37237237237237236,0.3932004823396264,0.39797879141915943,0.36683957085850477,0.382266620752284,0.7057057057057057,1.0
5,1.129962120615923,1.109878747432201,0.37787787787787785,0.3909878210720277,0.39639177401629916,0.36991383777483927,0.3903732825786419,0.7157157157157157,1.0
6,1.1073727639601192,1.100094393566922,0.3768768768768769,0.39170739138131916,0.39708068765627985,0.3695103045794413,0.38923849831740265,0.7157157157157157,1.0
7,1.0916957334917192,1.0944603998978455,0.3893893893893894,0.3939841628838949,0.397167698025263,0.3766357192732214,0.40412281076387696,0.7272272272272272,1.0
8,1.0806285361464103,1.0914901570156887,0.3838838838838839,0.38990679587022686,0.39001631742957726,0.3706178360863915,0.3996792832184124,0.7292292292292293,1.0
9,1.0715390863933423,1.0888483234353967,0.3913913913913914,0.39219577848981163,0.3928985016793491,0.3753700747437236,0.4073800041558321,0.7257257257257257,1.0
10,1.0645961740528744,1.087456085660436,0.3948948948948949,0.3961464096142773,0.39622873952429266,0.3787035878937612,0.4113195596430587,0.7232232232232232,1.0
11,1.0586794700396707,1.0860241579937864,0.3978978978978979,0.3899976303736424,0.3899521911895725,0.37712945232612155,0.4141394137292812,0.7267267267267268,1.0
12,1.0534511716547346,1.0854403606286875,0.3983983983983984,0.39422053206638186,0.3944452832670416,0.3792804009674657,0.414796181941778,0.7237237237237237,1.0
13,1.0492009199208998,1.085848876783201,0.4049049049049049,0.39465434430857,0.3966979428079685,0.3830366740466218,0.4204152203110604,0.7272272272272272,1.0
14,1.045233749299065,1.0856837571204245,0.4034034034034034,0.3986374688255519,0.40075059622665554,0.3843493048543161,0.4187328238441625,0.7282282282282282,1.0
15,1.0420641128968913,1.0845357172482006,0.4049049049049049,0.3976265439260556,0.4008867650949257,0.3851949985144108,0.42003089037833524,0.7342342342342343,1.0
16,1.0390021693533482,1.0855089556108843,0.4094094094094094,0.3949143151671155,0.39770204549511634,0.38584526920344664,0.4239719326781114,0.7357357357357357,1.0
17,1.0362216237849913,1.0849133145224463,0.4069069069069069,0.39567305269372266,0.398977632533315,0.3850845752289767,0.4216320315275981,0.7347347347347347,1.0
18,1.0336355604468517,1.0854148380271904,0.40790790790790793,0.3949443814369435,0.39757636919075673,0.385226894782495,0.4227040984269703,0.7382382382382382,1.0
19,1.031582066567763,1.0853447440388921,0.4094094094094094,0.3953951602963531,0.3977873214236252,0.38536306111502694,0.4240349531421254,0.7417417417417418,1.0
20,1.0292690565545413,1.085780786919045,0.4074074074074074,0.39429069355920926,0.39725111427242377,0.3845119019428334,0.4219622154200459,0.7387387387387387,1.0
21,1.0272507471439642,1.085915038774202,0.4034034034034034,0.3929900199134481,0.39564739468837146,0.3817179533129201,0.4185283721646406,0.7362362362362362,1.0
22,1.025434432546996,1.0861079333661436,0.4089089089089089,0.39506261729302644,0.39841841601226125,0.3861815415442636,0.4234952587147892,0.7427427427427428,1.0
23,1.0232107041293135,1.086687186578134,0.4124124124124124,0.39746174574455734,0.40245051099587204,0.3895028975334576,0.42616419623404855,0.7432432432432432,1.0
