,SINGLE,XBH,BB_HBP,SO,OTHER_OUT
SINGLE,82,80,60,253,336
XBH,20,40,27,80,122
BB_HBP,41,49,50,123,134
SO,47,53,74,486,325
OTHER_OUT,158,156,181,861,1075
