,SINGLE,XBH,BB_HBP,SO,OTHER_OUT
SINGLE,100,16,28,152,515
XBH,24,6,16,52,191
BB_HBP,45,7,43,74,228
SO,72,7,27,283,596
OTHER_OUT,169,29,56,442,1735
