model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,stage1_best_epoch,stage1_best_valid_loss,stage2_onbase_best_epoch,stage2_onbase_best_valid_loss,stage2_out_best_epoch,stage2_out_best_valid_loss
lightgbm_two_stage,0.4410746997761042,0.2805396830663078,0.25067717236442155,0.2486563283185914,0.39980768788604015,0.6875636067575819,0.8306533686138815,,,,,,
fm_two_stage,0.3527376348463261,0.2556425386853095,0.2602136998279094,0.24458329252701802,0.3510772396043649,0.623447995115001,0.7879096275188276,14.0,0.6777970936151115,15.0,1.0845357172482006,12.0,0.6719937766677052
