,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,0,0,0,0,0,1,0,810
DOUBLE,0,0,0,0,0,0,0,181
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,0,0,87
BB,0,0,0,0,0,1,0,343
SO,0,0,0,0,0,7,0,978
HBP,0,0,0,0,0,0,0,53
OUT,0,0,0,0,0,1,0,2430
