,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,0,0,0,0,1,6,0,804
DOUBLE,0,0,0,0,0,1,0,180
TRIPLE,0,0,0,0,0,1,0,20
HR,0,0,0,0,0,2,0,85
BB,0,0,0,0,0,2,0,342
SO,0,0,0,0,0,22,0,963
HBP,0,0,0,0,0,0,0,53
OUT,0,0,0,0,0,18,0,2413
