,SINGLE,XBH,BB_HBP,SO,OTHER_OUT
SINGLE,191,38,66,100,416
XBH,58,12,30,41,148
BB_HBP,88,18,54,49,188
SO,144,30,59,239,513
OTHER_OUT,412,75,141,371,1432
