,SINGLE,XBH,BB_HBP,SO,OTHER_OUT
SINGLE,157,73,40,217,324
XBH,40,49,18,66,116
BB_HBP,85,40,42,105,125
SO,98,57,64,408,358
OTHER_OUT,329,197,138,696,1071
