model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,best_threshold,optimized_on,stage1_best_epoch,stage1_best_valid_loss,stage2_onbase_best_epoch,stage2_onbase_best_valid_loss,stage2_out_best_epoch,stage2_out_best_valid_loss
lightgbm_two_stage_argmax,0.4416853246488907,0.2761331835913814,0.2455744669062166,0.24285964034773388,0.39689601298374105,0.6865458986362711,0.8300427437410951,,,,,,,,
lightgbm_two_stage_threshold,0.3924282515774476,0.25344919613987393,0.24895039022954676,0.24939884477929491,0.3817848075943909,0.6075717484225525,0.6812538164054549,0.46,valid_macro_f1,,,,,,
fm_two_stage_argmax,0.3535518013433747,0.2557280088556226,0.25970808354441494,0.2525746771365396,0.35811937155458723,0.6346427844494199,0.7944229594952168,,,9.0,0.671702350926403,16.0,1.0913707225530356,11.0,0.6724932482698666
fm_two_stage_threshold,0.3515163851007531,0.25777394684861105,0.2647408850365997,0.2558512546033393,0.3575564513741959,0.5986159169550173,0.6731121514349685,0.57,valid_macro_f1,9.0,0.671702350926403,16.0,1.0913707225530356,11.0,0.6724932482698666
