,SINGLE,XBH,BB_HBP,SO,OTHER_OUT
SINGLE,159,74,35,201,342
XBH,37,44,15,65,128
BB_HBP,82,43,38,98,136
SO,111,63,52,396,363
OTHER_OUT,342,191,115,683,1100
