team,name,AB,H,2B,3B,HR,TB,BB,HBP,SF
阪神,森下翔太,549.0,151.0,24.0,5.0,23.0,254.0,54.0,12.0,5.0
阪神,門別啓人,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,湯浅京己,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪神,渡邉諒,19.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0
ＤｅＮＡ,東克樹,38.0,7.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0
ＤｅＮＡ,東妻純平,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ＤｅＮＡ,石上泰輝,141.0,34.0,9.0,0.0,2.0,49.0,14.0,1.0,0.0
ＤｅＮＡ,石田裕太郎,23.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
ＤｅＮＡ,伊勢大夢,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,伊藤光,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,井上絢登,29.0,5.0,0.0,0.0,2.0,11.0,1.0,0.0,1.0
ＤｅＮＡ,入江大生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,岩田将貴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,ウィック,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,蝦名達夫,348.0,99.0,21.0,1.0,8.0,146.0,31.0,11.0,7.0
ＤｅＮＡ,オースティン,219.0,59.0,14.0,0.0,11.0,106.0,26.0,1.0,0.0
ＤｅＮＡ,大貫晋一,18.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ＤｅＮＡ,梶原昂希,163.0,40.0,9.0,1.0,2.0,57.0,4.0,2.0,1.0
ＤｅＮＡ,勝又温史,9.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ＤｅＮＡ,加藤響,17.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
ＤｅＮＡ,神里和毅,26.0,8.0,1.0,2.0,0.0,13.0,1.0,0.0,0.0
ＤｅＮＡ,京田陽太,194.0,42.0,5.0,1.0,1.0,52.0,9.0,4.0,1.0
ＤｅＮＡ,九鬼隆平,12.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
ＤｅＮＡ,桑原将志,398.0,113.0,17.0,2.0,6.0,152.0,30.0,9.0,0.0
ＤｅＮＡ,ケイ,36.0,4.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
ＤｅＮＡ,小園健太,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,坂本裕哉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,佐々木千隼,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ＤｅＮＡ,佐野恵太,525.0,144.0,24.0,0.0,15.0,213.0,34.0,5.0,5.0
