epoch,train_loss,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,1.4761561674412378,1.456183154423077,0.4194194194194194,0.3264841372204481,0.3407753979972936,0.306808774053319,0.38090763549263007,0.7492492492492493,1.0
2,1.2978124818578458,1.2920753761335417,0.4119119119119119,0.34523015902102383,0.34292163192120756,0.31540131013574885,0.3841619839816044,0.7527527527527528,1.0
3,1.1991726507932927,1.2045720820431713,0.4139139139139139,0.3712802762009952,0.3577887736352466,0.3333725357850206,0.3959617699028776,0.7537537537537538,1.0
4,1.1440285779393475,1.1591421181971844,0.4109109109109109,0.3708935172907615,0.36121592315965595,0.3365657767702566,0.3961943094859738,0.7457457457457457,1.0
5,1.112258682762177,1.1323842220716887,0.4114114114114114,0.37354204683056597,0.3722683938722961,0.3471993881567034,0.4023985953551968,0.7367367367367368,1.0
6,1.092860936723898,1.118984463455918,0.4189189189189189,0.3821903185157211,0.3783292526652788,0.3552371882493448,0.4119200653672205,0.7382382382382382,1.0
7,1.0792659553584174,1.1105002620676019,0.41791791791791794,0.38640851481283295,0.38167602813073126,0.35567633890641376,0.4121389534992938,0.7377377377377378,1.0
8,1.0691323270924011,1.1027664927032974,0.42292292292292294,0.38900414477421186,0.3834094448337106,0.36114590655726114,0.4179745539636486,0.7517517517517518,1.0
9,1.0613833783326758,1.0996466013523671,0.4209209209209209,0.39014956600804673,0.38776391710813346,0.36256094871295813,0.4179718075626074,0.7537537537537538,1.0
10,1.055240072668555,1.0961842842407532,0.4164164164164164,0.3929196089362197,0.3888325727280308,0.3656304621571344,0.4179022394190079,0.7617617617617618,1.0
11,1.050124792248838,1.094594871079003,0.42542542542542544,0.39075319314444407,0.38513148791779445,0.37058203743000845,0.42707077303267266,0.7662662662662663,1.0
12,1.0457577618260647,1.0938446898837466,0.42742742742742745,0.39588725979652306,0.38964399524329335,0.37170263204273857,0.42742712180549525,0.7672672672672672,1.0
13,1.041832310448538,1.0929419212751799,0.4169169169169169,0.3908517724829066,0.3879561429177785,0.37057119847556214,0.4213088877690195,0.7642642642642643,1.0
14,1.038929084860887,1.0930503547131956,0.41791791791791794,0.39319398740646366,0.389797844919119,0.37000924883271713,0.4213234583355462,0.7652652652652653,1.0
15,1.0355425281381376,1.0931744406053852,0.42242242242242245,0.39155472642096806,0.38978130729861005,0.37280641125853925,0.42550078720175805,0.7667667667667668,1.0
16,1.032268698202735,1.0913707225530356,0.4109109109109109,0.38428949679113317,0.38490183693119784,0.36785891133334353,0.41728511786669126,0.7627627627627628,1.0
17,1.0297836455371139,1.092486325446311,0.4164164164164164,0.3883787385922111,0.38806642478867576,0.3725336023782169,0.422080286413456,0.7627627627627628,1.0
18,1.0274834631962846,1.0926401192719515,0.4089089089089089,0.38129523864591297,0.3815057384057752,0.3662564924032814,0.41560491611460015,0.7602602602602603,1.0
19,1.0251275346817665,1.0925047207881022,0.4049049049049049,0.38152663252472524,0.382761910195944,0.365039751543927,0.41195992848833957,0.7622622622622622,1.0
20,1.0230443997330905,1.0930654292588715,0.41291291291291293,0.3876974829577322,0.3884251816407714,0.3725997046483804,0.42017562751307275,0.7637637637637638,1.0
21,1.0210000380080622,1.0941467609730091,0.4074074074074074,0.38233674414746494,0.38434621453196655,0.3679892747137226,0.41491144979595757,0.7587587587587588,1.0
22,1.0190724254049113,1.0938191946085032,0.4029029029029029,0.38071103279436613,0.3830443138036501,0.3655812624401076,0.41086621745783053,0.7597597597597597,1.0
23,1.01705501605938,1.0943445283490736,0.4069069069069069,0.3799164746172321,0.3826277379002097,0.3695523577100988,0.4159751440326705,0.7597597597597597,1.0
24,1.0153985183779932,1.0950861191964365,0.4069069069069069,0.38428352097550733,0.3861894864130982,0.3702920430171764,0.41556323766272457,0.7572572572572572,1.0
