epoch,train_loss,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy
1,0.8898963622616747,0.7537346848073141,0.49929278642149927,0.517012419302842,0.5195685376097747,0.48946113738060365,0.5158161920576139,1.0
2,0.7250282612578287,0.6991382178300285,0.5181518151815182,0.5315534067348252,0.5364354044766416,0.5069999636105602,0.5345824428879452,1.0
3,0.6893166794785389,0.6830578509618066,0.5132798994185133,0.5424005824005824,0.5480831346810728,0.5072827042103925,0.5275040162582869,1.0
4,0.6773263789260732,0.6780432993448063,0.5208235109225208,0.5405214147641774,0.5465248753908548,0.512033654830584,0.5363961716568304,1.0
5,0.671430612779025,0.6770121708299198,0.55995599559956,0.5406828572559091,0.5466853451389534,0.5332884445274322,0.5747888346574299,1.0
6,0.6675733376291135,0.6754437141892072,0.5376394782335376,0.5422544776576794,0.5490108665366398,0.5232620764278291,0.5540596421057586,1.0
7,0.6651225532684465,0.673453482052037,0.5588558855885588,0.5439209666282809,0.5506331073341382,0.5349032187454438,0.5741663506136248,1.0
8,0.6628608071354719,0.6721779882355192,0.5058934464875059,0.5529829245681208,0.5580338070028792,0.5036371821485099,0.5160860811937394,1.0
9,0.6611405911799311,0.671702350926403,0.5227094137985228,0.5475622474908591,0.5542774733496383,0.5155786836813645,0.5374419455820297,1.0
10,0.6595419981178501,0.6736507012505736,0.5871444287285872,0.552015218986478,0.5579527981589837,0.550358168603518,0.5982005189969458,1.0
11,0.6584923185002786,0.6719495639680374,0.5440829797265441,0.546517071763262,0.5539787209890303,0.5289085065041872,0.5603603262216292,1.0
12,0.6572027908354544,0.6726660214279051,0.553041018387553,0.5505073591533638,0.5586080926287111,0.5357790624653689,0.5690790214448391,1.0
13,0.6564341641807325,0.6722282548942188,0.5216093037875216,0.5525523040120015,0.5594465599620239,0.5161318269753461,0.535282768798713,1.0
14,0.6558236043388589,0.6718161608950627,0.5607417884645607,0.5537742462914876,0.5623210839705686,0.5414849525823533,0.5764396539114829,1.0
15,0.6549440196459921,0.6729007804242016,0.5711142542825711,0.5515788249872892,0.5591607070988514,0.5448684552466865,0.5855253965542382,1.0
16,0.6544967312577731,0.6720920643603373,0.5489548954895489,0.5574009002106194,0.5664860737025685,0.5365503701037314,0.5647554724939622,1.0
17,0.6540928234144003,0.672425677505432,0.5635706427785636,0.5564927887146015,0.56546856134485,0.5443765045104662,0.5791640430101495,1.0
