epoch,train_loss,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy
1,0.9520191511922211,0.7734759625973434,0.5271477663230241,0.5222256249716437,0.5274002293257265,0.501010898563208,0.5506944940345699,1.0
2,0.7710610286211426,0.7111257770490264,0.5360824742268041,0.5273067416623454,0.5336262829655731,0.5082758852035414,0.5591474772605509,1.0
3,0.7040458414646518,0.6883592143091549,0.5321878579610538,0.5494832745980556,0.5606629471152502,0.5167979805689831,0.5543145109509374,1.0
4,0.6796599597246819,0.6801906181091841,0.5686139747995418,0.5575542294212371,0.5708019874896291,0.5414716708113485,0.5900057906546433,1.0
5,0.6701443414313245,0.6771506679563315,0.5830469644902635,0.561225399239802,0.5747126436781609,0.5504736145219153,0.6031176924707605,1.0
6,0.6650078035736812,0.67487487295922,0.5544100801832761,0.5579636357985622,0.5714766805567209,0.5339771275710185,0.5764302752851072,1.0
7,0.6618995849577376,0.6739419020737979,0.5578465063001146,0.560496631674605,0.5746089343811469,0.5371510907794698,0.5797302826253034,1.0
8,0.6594289603006163,0.673585073153178,0.5576174112256587,0.5670594611829812,0.5825630878802286,0.5399241253877012,0.5791759359090578,1.0
9,0.657311605386031,0.6734710230587001,0.556930126002291,0.5646341509555322,0.579625434646829,0.5384688812523865,0.5786268466361995,1.0
10,0.6554453593688337,0.6726276796981094,0.5654066437571592,0.5651575588352613,0.5803688788209302,0.5437019315838758,0.5869973605933981,1.0
11,0.6538861525496559,0.6724932482698666,0.5871706758304697,0.5684227265109618,0.5837330219723877,0.5567797779157183,0.6072717421677855,1.0
12,0.6525895908172844,0.6733270130752834,0.574799541809851,0.5619179589440739,0.576095822729349,0.5470174893976202,0.595822408482566,1.0
13,0.6517406408361269,0.6732807165978291,0.5624284077892325,0.5644772938088378,0.5795228906228151,0.5416676378864557,0.5841054226500437,1.0
14,0.6503906959217389,0.6733263710656663,0.5725085910652921,0.5642803890559409,0.5791709781767672,0.5471462019413175,0.5937707682011703,1.0
15,0.6491877576378832,0.6739300703128452,0.5825887743413517,0.5626625159179814,0.5766062123034185,0.5511631450629826,0.6028317770972881,1.0
16,0.6485301419510061,0.6737755079040003,0.5628865979381443,0.5653367014466146,0.5805797932339589,0.5423341539543676,0.584527765981602,1.0
17,0.6476364886657509,0.6747708343558295,0.5738831615120275,0.5652671033402374,0.5803747051859309,0.5483944247856919,0.5950705202951532,1.0
18,0.6469025883346678,0.6735048641180801,0.5775486827033218,0.5629436341531118,0.5772739137325092,0.5489566400887981,0.5983618165446495,1.0
19,0.6461075015937782,0.6734954357829973,0.5709049255441008,0.5647287473210909,0.5797745895908493,0.5465301309589767,0.5922689994541848,1.0
