epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,1.3756941458547163,0.28435597898000076,1.3637186585030203,0.27848499135627847,0.2926431268958982,0.3197813711981793,0.22752503097909826,0.331946842626288,0.5421970768505422,0.8161244695898161
2,1.3511016311809916,0.30616989905863673,1.3578750461635023,0.26591230551626593,0.2946857711712551,0.3134992649844016,0.22720112702936185,0.3151062653398293,0.5355964167845356,0.8211535439258212
3,1.338284616443116,0.32142452081206757,1.3610238522155356,0.2696841112682697,0.29235006199582214,0.309782894658376,0.22763651244664188,0.3051319405816479,0.5623133741945623,0.8341977054848342
4,1.3290450798442588,0.3300631356092397,1.3611722287565176,0.2663837812352664,0.2896525036052832,0.3012293022104303,0.22440828223646003,0.3098320509730605,0.5601131541725601,0.8334119126198334
5,1.3212626537282113,0.332255869343314,1.3611506534300941,0.25742574257425743,0.2934849312755769,0.30071084528448877,0.21982731297715602,0.30145154690504344,0.5489548954895489,0.8257111425428257
6,1.3145092188723844,0.33945786548712714,1.3615783511440127,0.275970454188276,0.28988912593352945,0.3043506435061214,0.2291327665914179,0.3281140045768094,0.5736287914505737,0.8448844884488449
7,1.308311618752148,0.34263354882613134,1.363913703879039,0.2692126355492692,0.2913219923377603,0.3038555894146105,0.22439940723261567,0.32002969034626366,0.5594845198805595,0.8362407669338362
8,1.3032705533942097,0.3532569657101811,1.3643342922004762,0.25616847399025616,0.2942094294964878,0.30784710649020386,0.22078066430454185,0.3005981747200774,0.5418827597045419,0.8206820682068207
9,1.2989489038041677,0.3440701674794904,1.3702811574703602,0.3256325632563256,0.28627397146995864,0.30200607254113015,0.24882838465678703,0.379689258140896,0.6468646864686468,0.8793022159358793
10,1.2945016838193575,0.35458016710143286,1.3687948472616378,0.2921577872072922,0.2924790366373435,0.31059326542879445,0.23887874402683107,0.34194000738484054,0.5909162344805909,0.8500707213578501
