,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,178,66,6,40,112,158,14,237
DOUBLE,43,13,1,11,24,28,2,59
TRIPLE,2,2,0,0,5,6,0,6
HR,11,7,0,11,19,16,2,21
BB,78,26,4,16,57,65,7,91
SO,175,47,7,43,121,292,22,278
HBP,10,3,0,3,10,8,3,16
OUT,500,181,21,107,313,477,56,776
