epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_precision,valid_weighted_recall,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,2.3974043183423888,0.14356735095081471,2.1784063560603344,0.14725758290114727,0.13917302243469398,0.15294584411476575,0.10566327684932446,0.33443513539134295,0.14725758290114727,0.18219729162083034,0.3008015087223008,0.4545025931164545
2,1.9725049847371412,0.1957014857661336,2.1172925343813995,0.14945780292314945,0.15204938615128852,0.18009432300690442,0.11173036432094104,0.36234149348791994,0.14945780292314945,0.18771440106820683,0.3061449002043061,0.46456074178846457
3,1.7577216214689477,0.22016180862727308,2.12189702805569,0.16501650165016502,0.1517618115852109,0.1859508535676826,0.11819367572510428,0.35782608996685783,0.16501650165016502,0.2056568185358762,0.3418198962753418,0.5118654722615119
4,1.5983315461894514,0.2460209443877358,2.155619502535935,0.18026088323118025,0.15299605873293007,0.18281362977999072,0.12436083727264619,0.35958359036168086,0.18026088323118025,0.22100433666809075,0.3657079993713657,0.5503693226465504
5,1.4642182211133015,0.27388378511209405,2.19692317412444,0.1845041647021845,0.15151214070442093,0.18205485547623435,0.12574659475109032,0.35772567593126764,0.1845041647021845,0.22355328498348717,0.38189533239038187,0.5717428885745718
6,1.3591708776238853,0.299875241011682,2.2510300639214127,0.19581958195819582,0.14952601774025526,0.17029073650821805,0.12727277831118441,0.3555969971911304,0.19581958195819582,0.23567983909559048,0.4134842055634135,0.5957881502435958
7,1.267486273523567,0.3232202941287664,2.3226128652675446,0.2036775106082037,0.15051042687346727,0.17175934158108688,0.13156874777455363,0.35533160585588364,0.2036775106082037,0.2407532427318408,0.4178846456074179,0.6027031274556027
8,1.1905308295403134,0.33998714604362784,2.376896583451315,0.20336319346220336,0.1500326859732968,0.16664673212068565,0.13088614370669976,0.3555547592217301,0.20336319346220336,0.23886581199218038,0.42747131856042747,0.6137042275656137
9,1.1208202473080986,0.36335110203773013,2.43825011547118,0.212006914977212,0.14948751120374756,0.16576666791937944,0.13316733543315307,0.3553463833482528,0.212006914977212,0.24755139111992389,0.4351720886374352,0.6311488291686311
10,1.0590182959048682,0.3829911912593097,2.5046981981710013,0.21845041647021846,0.14754688342448985,0.1664039997543028,0.13382269131222613,0.35322559390794406,0.21845041647021846,0.2546080138283607,0.4457017130284457,0.6441929907276442
11,0.9962182364402153,0.39875619069222334,2.5748157939988827,0.22662266226622663,0.14670175878481415,0.15988940926256623,0.1347137414270737,0.35139429025781344,0.22662266226622663,0.2621230832392557,0.4614175703284614,0.6547226151186547
12,0.9626430348770221,0.41334921175002837,2.6391084490192585,0.23212321232123212,0.1458237476348352,0.15903523148959334,0.13561491458494754,0.34962075338066473,0.23212321232123212,0.266890381408747,0.46848970611346846,0.6657237152286657
13,0.9088351233172907,0.43822539790556125,2.7018017555283578,0.23023730944523024,0.14745939754411008,0.16341642703661702,0.137272454147968,0.35014555579030404,0.23023730944523024,0.2634389488135573,0.4669181203834669,0.6663523495206664
14,0.8754033099356178,0.4465048580393936,2.756774725450129,0.24343862957724344,0.1417222865740716,0.1499253447543955,0.13428782762894814,0.34136988393887213,0.24343862957724344,0.2761201391023191,0.4835769291214836,0.6878830740216879
15,0.8358953412748826,0.4651241919020075,2.832277379170091,0.23825239666823825,0.14646333760262384,0.15825309091873116,0.13846396325881644,0.34786353271268267,0.23825239666823825,0.2688309539933622,0.482005343391482,0.6856828539996856
16,0.8051599131757733,0.47317681751162527,2.9027816359771603,0.2544397296872544,0.14500876151307512,0.15249745281917126,0.1391439036173584,0.34640718177556534,0.2544397296872544,0.2837732599756082,0.5055791293415056,0.7023416627377024
17,0.7745574960018717,0.4888094968054138,2.9295200365960703,0.25774005972025776,0.14248975424828295,0.1468931421275472,0.13610757248917377,0.34634167993918097,0.25774005972025776,0.2886345130497615,0.5062077636335062,0.7075278956467075
18,0.7465842441482078,0.5034592264942724,2.9937578639612434,0.24925349677824926,0.14072744486034028,0.1436523328219962,0.13381795417573478,0.3409503960460158,0.24925349677824926,0.27879504789801834,0.5065220807795066,0.7067421027817068
19,0.7173977417331315,0.5162753771123965,3.0452284767214426,0.25333961967625335,0.14339365408767835,0.14805809326137084,0.13728729908545,0.34344969834158773,0.25333961967625335,0.28234297525041224,0.5084079836555084,0.7125569699827126
