epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_precision,valid_weighted_recall,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
20,0.6969030038165098,0.5253109523269441,3.095563514004446,0.2600974383152601,0.14570321782393425,0.15002167148279974,0.1396520169977981,0.35041404556652195,0.2600974383152601,0.2881644525238235,0.506993556498507,0.710985384252711
21,0.6719075519237927,0.5403198366791425,3.147498594333817,0.27157001414427157,0.14765375908852135,0.15201158877323082,0.14329361526565887,0.35015585768325136,0.27157001414427157,0.29911159402022336,0.5135942165645135,0.7188433129027189
22,0.6493282513845432,0.5475218328229556,3.210397880032024,0.26544082979726547,0.14176787809005142,0.1434379164907742,0.1368062585740433,0.3430821001850358,0.26544082979726547,0.29192647545295347,0.5197234009115197,0.7234009115197234
23,0.6312598254382193,0.5577860950436656,3.274692344380759,0.2732987584472733,0.1422028022165483,0.14432951333127625,0.1385078292065961,0.34188366191747416,0.2732987584472733,0.29828207407080976,0.5258525852585259,0.7304730473047305
24,0.6116861934396145,0.5664625155948736,3.309584182705985,0.27832783278327833,0.1410349780557657,0.14184197257132938,0.13771182238185475,0.3398447995565311,0.27832783278327833,0.30192641950929233,0.5304101838755304,0.7307873644507308
25,0.5954632481002324,0.5753090620392424,3.369700904913936,0.2773848813452774,0.14400886461246776,0.14584459173196865,0.14045082570153067,0.34417213594034346,0.2773848813452774,0.301491189749183,0.5321389281785321,0.7362879145057363
26,0.5825690527858411,0.5826244754451627,3.410304456391875,0.28131384567028134,0.14566697762559594,0.1463162153471787,0.14186360185209412,0.34708383333238135,0.28131384567028134,0.3054606586514044,0.5344963067735345,0.7342448530567343
27,0.5639110960868811,0.5908850327019772,3.463657248231875,0.2831997485462832,0.14552423997516503,0.14628961143339345,0.14200168386167084,0.3469564003369533,0.2831997485462832,0.3063388554708672,0.537010843941537,0.7358164387867359
28,0.5483753129753705,0.6018676042493668,3.491422939615281,0.27565613704227565,0.14408846306063533,0.14478242516669682,0.14002371020123805,0.34337471800189584,0.27565613704227565,0.2993357582702144,0.5304101838755304,0.7344020116297344
29,0.5343285099481446,0.6090128917621261,3.561630634659775,0.2846141757032846,0.1459336921006112,0.14698382661045117,0.1428379847445661,0.34387308937354766,0.2846141757032846,0.3064806574192683,0.5381109539525382,0.7377023416627377
