,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,131,4,0,5,53,166,0,452
DOUBLE,24,2,0,1,12,37,0,105
TRIPLE,0,0,0,0,1,10,0,10
HR,8,1,0,2,12,23,0,41
BB,49,1,0,2,36,80,0,176
SO,126,7,0,3,43,322,0,484
HBP,9,0,0,0,2,10,0,32
OUT,321,12,0,6,118,547,4,1423
