model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,non_so_out_precision,non_so_out_recall,non_so_out_f1,non_so_out_pred_count,best_threshold,optimized_on,test_loss,best_epoch,best_valid_loss
lightgbm_argmax,0.6562181966212091,0.29137483160703814,0.2741132738487659,0.26492807673194907,0.5919552265999956,0.8493791980460004,0.939548137594138,0.4557595993322204,0.18236472945891782,0.26049618320610685,599,,,,,
lightgbm_threshold,0.5454915530225931,0.2810826097737485,0.28044488311577576,0.2745451309657553,0.5468352391254618,0.8493791980460004,0.939548137594138,0.3720073664825046,0.40480961923847697,0.38771593090211137,1629,0.55,valid_macro_f1,,,
fm_argmax,0.2857724404640749,0.29771588361357293,0.32682871960095095,0.23825233512674993,0.33491948831988155,0.5438632200284959,0.8052106655811113,0.3329820864067439,0.8443553774215097,0.47761194029850745,3796,,,1.363870243470052,8.0,1.3602250372297486
fm_threshold,0.4825971911255852,0.2930053417953016,0.31182734511062193,0.28710487909395654,0.5145648206996363,0.5438632200284959,0.8052106655811113,0.3596743295019157,0.5016700066800267,0.4189679218967922,2088,0.23,valid_macro_f1,1.363870243470052,8.0,1.3602250372297486
