,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,2,0,0,0,0,1,0,808
DOUBLE,0,0,0,0,0,0,0,181
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,2,0,85
BB,2,0,0,0,0,1,0,341
SO,1,0,0,0,0,19,0,965
HBP,0,0,0,0,0,1,0,52
OUT,1,0,0,0,0,9,0,2421
