epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,1.9711775618110379,0.20668405731352313,1.7717994656481122,0.17884645607417884,0.21400855049400427,0.22455666335791621,0.17367617853666234,0.18945997055393907,0.3724658180103725,0.5946880402325947
2,1.7080790743359653,0.21880080148198555,1.6600558575118054,0.18026088323118025,0.22052481052222034,0.22794327979587212,0.17488607846532003,0.18667872405556712,0.4016973125884017,0.6294200848656294
3,1.6231864175834005,0.23488714982420325,1.6139266042988123,0.1867043847241867,0.23633548504998503,0.24337387660313273,0.18356341154455968,0.188390614727226,0.4053119597674053,0.6331918906176331
4,1.584761083849409,0.25042531473290236,1.5941679478253694,0.20053433914820054,0.2474345690459368,0.2538883367425878,0.1942052350150486,0.1991018364646452,0.4221279270784221,0.6454502593116455
5,1.5635084574679825,0.260746285584666,1.5845100511905814,0.20242024202420242,0.24917809766105298,0.2536981352047131,0.19463940499591476,0.2006219851903452,0.4298286971554298,0.6415212949866416
6,1.5501771992733202,0.2686854939321765,1.5783918957355805,0.20807795065220808,0.25261112292989135,0.25828400890459313,0.19965344192333706,0.21401785374204627,0.4420870658494421,0.6570799937136571
7,1.5405974386860655,0.2783070583342785,1.575262467853307,0.2156215621562156,0.2574707359704777,0.2662787971656547,0.20731030390460883,0.2194925509579206,0.44774477447744776,0.6628948609146629
8,1.5327347583533875,0.2783259612112964,1.5731978893055212,0.21719314788621719,0.2575215935169073,0.26730365250126936,0.20879358657575703,0.22238010091443772,0.44837340876944837,0.6663523495206664
9,1.526304476671528,0.2853767343389664,1.5722852444547575,0.2156215621562156,0.25548025724254214,0.2685891493793898,0.20816291803373824,0.2204008367262349,0.4585887160144586,0.6764104981926764
10,1.520899841007648,0.2869645760084685,1.573063383064198,0.21766462360521766,0.2522517127318249,0.26371185646511747,0.20753726966211933,0.22714341355467105,0.4667609618104668,0.6867829640106868
11,1.5165924165096631,0.2894030471437753,1.5732294613135118,0.22646550369322646,0.2525035715746691,0.26462587059723097,0.21418140055823284,0.23756003507693646,0.47493320760647495,0.6943265755146943
12,1.5127095140215083,0.29388302899701335,1.5738896973643048,0.21750746503221752,0.25405311026730654,0.2630873559967372,0.20786818867898008,0.2271236221542867,0.4625176803394625,0.6831683168316832
13,1.5086276437387967,0.2915768780008317,1.5732741435518733,0.22898004086122897,0.25588683782852456,0.26822134853519825,0.21547610160668057,0.23986973924014032,0.4766619519094767,0.6911834040546911
14,1.505175832548167,0.29494159011001475,1.57394202021932,0.2307087851642307,0.253507248049219,0.2618973367497687,0.2158113767756748,0.25018423397426154,0.49064906490649063,0.7057991513437057
15,1.5019933945839448,0.2984386223583229,1.575994637446004,0.2215935879302216,0.25494205373509726,0.2632942977552175,0.20967384428054503,0.23190430426782851,0.46848970611346846,0.6847399025616847
16,1.499287944642958,0.2994026690862349,1.5763547673983036,0.22127927078422127,0.25425117418120025,0.26080675594627534,0.2098473832211643,0.22857297418505967,0.47493320760647495,0.6914977212006915
17,1.4964294147051591,0.30078257910854034,1.5775053629274922,0.23652365236523654,0.255424902546031,0.2664262647635344,0.22030648923025992,0.25227555906745,0.4884488448844885,0.7054848341977055
