feature,importance_gain,importance_split
batter_id,694657.088804245,31146
pitcher_id,658427.3092045784,29834
inning_out_state,135548.5501806736,10130
previous_result5,68795.91899299622,5137
previous_result4,68412.87629914284,4947
previous_result2,66470.0960958004,4790
previous_result1,66205.32310187817,4727
previous_result3,65944.67876791954,4869
bat_order_runner_state,64800.882600069046,4170
base_out_state,14319.81519126892,529
bat_order,10256.70552766323,299
pitcher_xbh_rate_allowed,6465.77990937233,542
batter_xbh_rate,6242.307144999504,444
stadium_id,6104.714155912399,584
pitcher_bf_count,5237.861743927002,623
batter_pa_count,4715.725177764893,555
pitcher_bb_rate,4627.547866463661,527
batter_out_rate,4244.730773329735,471
pitcher_hit_rate_allowed,4039.199103474617,488
pitcher_out_rate,3724.2055480480194,487
batter_k_rate,3658.955281853676,389
out_count,3645.3556406497955,118
batter_onbase_event_rate,3508.8220587968826,396
batter_bb_rate,3258.348979949951,359
batter_hit_rate,3253.6656042337418,398
pitcher_recent_bf_ops,3216.8476898670197,408
pitcher_k_rate,3197.3858795166016,355
pitcher_k9,3175.945857524872,360
batter_avg,3022.8117151260376,353
pitcher_onbase_event_rate_allowed,3021.8031873703003,333
is_leadoff_batter_in_inning,2989.8735842704773,190
batter_vs_rhp_avg,2841.455483675003,342
pitcher_vs_lhb_avg,2816.5349168777466,335
batter_vs_rhp_ops,2752.249793410301,307
batter_slg,2714.77121257782,264
vs_k_rate,2692.376797437668,405
batter_iso,2677.9132599830627,241
pitcher_vs_lhb_ops,2633.7635300159454,318
vs_ops,2609.376859307289,307
vs_pa_count,2518.691618323326,357
pitcher_bf_in_game,2482.4200024604797,320
batter_recent_10pa_ops,2443.4348771572113,286
pitcher_vs_rhb_ops,2413.3482615947723,267
vs_xbh_rate,2396.3930580615997,267
pitcher_vs_rhb_avg,2371.186801314354,300
pitcher_hr_rate,2364.9123829603195,303
batter_vs_lhp_ops,2287.168139696121,276
batter_ops,2259.9678559303284,248
batter_obp,2244.9603325128555,269
pitcher_era,2225.0969878435135,280
pitcher_ops,2050.9030874967575,253
pitcher_whip,1997.4356877803802,239
vs_hit_rate,1885.389475941658,285
pitcher_recent_bf_avg,1880.0906319618225,230
batter_vs_lhp_avg,1861.1055717468262,223
score_diff,1828.8102478981018,178
vs_bb_rate,1590.7683951854706,211
batter_hr_rate,1541.355427980423,202
batter_recent_5pa_ops,1440.4709825515747,173
batter_recent_10pa_avg,1139.580908536911,141
batter_recent_10pa_k_rate,925.1538803577423,124
runner_count,833.5877182483673,29
inning,748.9887969493866,82
pitcher_recent_bf_k_rate,725.8385419845581,115
batting_turn_in_game,586.6968383789062,64
month,560.333243727684,83
pitcher_recent_bf_bb_rate,556.0937557220459,67
batter_recent_10pa_bb_rate,545.4187558889389,57
is_two_out,309.94932985305786,9
is_no_out_runner_on,210.12328934669495,12
runner1,162.39005970954895,12
Home_Away_id,135.2295892238617,23
runner3,45.51133990287781,5
runner2,45.34170985221863,9
pitcher_hand,45.03514099121094,7
top_bottom,38.913710832595825,5
batter_hand,22.403300285339355,2
