,SINGLE,XBH,BB_HBP,SO,OUT
SINGLE,122,12,43,172,462
XBH,47,7,22,62,151
BB_HBP,59,3,37,77,221
SO,95,12,41,292,545
OUT,238,31,110,480,1572
