model,selection_criterion,threshold,valid_accuracy,valid_macro_f1,valid_run_scored_precision,valid_run_scored_recall,valid_run_scored_f1,valid_run_scored_pred_count,valid_roc_auc,valid_pr_auc,test_accuracy,test_macro_f1,test_weighted_f1,test_no_run_precision,test_no_run_recall,test_no_run_f1,test_run_scored_precision,test_run_scored_recall,test_run_scored_f1,test_run_scored_pred_count,test_log_loss,test_roc_auc,test_pr_auc,valid_macro_precision,valid_macro_recall,valid_weighted_f1,valid_no_run_precision,valid_no_run_recall,valid_no_run_f1,valid_log_loss,test_macro_precision,test_macro_recall
lgbm_step2a_raw_32_features,default_0_50,0.5,0.677376171352075,0.5702182009167303,0.3292079207920792,0.3866279069767442,0.35561497326203206,404,0.6420374115267947,0.343123152939394,0.6550255536626917,0.5431314048514724,0.6698548986858653,0.8045292014302742,0.7368995633187773,0.7692307692307693,0.28059701492537314,0.3643410852713178,0.31703204047217537,335,0.6232786661079045,0.5900528079618158,0.26034109396236976,0.5678149695703515,0.5754878665318504,0.685994774872344,0.8064220183486238,0.7643478260869565,0.7848214285714286,0.5821297944131477,0.5425631081778237,0.5506203242950476
lgbm_step2a_raw_32_features,best_macro_f1,0.54,0.7101740294511378,0.582133534697537,0.3622291021671827,0.34011627906976744,0.35082458770614694,323,0.6420374115267947,0.343123152939394,0.6712095400340715,0.5309405120731343,0.6747053413539702,0.7944444444444444,0.7805676855895196,0.7874449339207048,0.2664233576642336,0.28294573643410853,0.2744360902255639,274,0.6232786661079045,0.5900528079618158,0.26034109396236976,0.5841888465575452,0.5804929221435794,0.7069226988709376,0.8061485909479078,0.8208695652173913,0.8134424816889272,0.5821297944131477,0.530433901054339,0.5317567110118141
lgbm_step2a_raw_32_features,best_run_scored_f1,0.15,0.41365461847389556,0.4136283477662442,0.2706896551724138,0.9127906976744186,0.4175531914893617,1160,0.6420374115267947,0.343123152939394,0.37223168654173766,0.3721547020659499,0.3682581032145385,0.8653061224489796,0.2314410480349345,0.3652024117140396,0.24219590958019377,0.872093023255814,0.37910699241786017,929,0.6232786661079045,0.5900528079618158,0.26034109396236976,0.5904346479454883,0.5885692618806875,0.4115109287295422,0.9101796407185628,0.2643478260869565,0.40970350404312667,0.5821297944131477,0.5537510160145867,0.5517670356453742
lgbm_step2a_raw_32_features,best_run_f1_recall_ge_050,0.15,0.41365461847389556,0.4136283477662442,0.2706896551724138,0.9127906976744186,0.4175531914893617,1160,0.6420374115267947,0.343123152939394,0.37223168654173766,0.3721547020659499,0.3682581032145385,0.8653061224489796,0.2314410480349345,0.3652024117140396,0.24219590958019377,0.872093023255814,0.37910699241786017,929,0.6232786661079045,0.5900528079618158,0.26034109396236976,0.5904346479454883,0.5885692618806875,0.4115109287295422,0.9101796407185628,0.2643478260869565,0.40970350404312667,0.5821297944131477,0.5537510160145867,0.5517670356453742
lgbm_step2a_raw_32_features,best_run_f1_recall_ge_060,0.15,0.41365461847389556,0.4136283477662442,0.2706896551724138,0.9127906976744186,0.4175531914893617,1160,0.6420374115267947,0.343123152939394,0.37223168654173766,0.3721547020659499,0.3682581032145385,0.8653061224489796,0.2314410480349345,0.3652024117140396,0.24219590958019377,0.872093023255814,0.37910699241786017,929,0.6232786661079045,0.5900528079618158,0.26034109396236976,0.5904346479454883,0.5885692618806875,0.4115109287295422,0.9101796407185628,0.2643478260869565,0.40970350404312667,0.5821297944131477,0.5537510160145867,0.5517670356453742
fm_step2a_binned_features,default_0_50,0.5,0.5515394912985274,0.533473154362416,0.30957943925233644,0.7703488372093024,0.44166666666666665,856,0.6715255308392315,0.3435757753065614,0.5289608177172062,0.5024489686435449,0.5668209121508109,0.8431001890359168,0.4868995633187773,0.6173010380622838,0.2713178294573643,0.6782945736434108,0.3875968992248062,645,0.6754038356427358,0.5990508953657628,0.26871541471692556,0.592877493920839,0.6282178968655208,0.5830019556226398,0.8761755485893417,0.4860869565217391,0.6252796420581656,0.6564438694625114,0.5572090092466405,0.582597068481094
fm_step2a_binned_features,best_macro_f1,0.59,0.6900937081659974,0.5853072627372926,0.3508771929824561,0.4069767441860465,0.3768506056527591,399,0.6715255308392315,0.3435757753065614,0.6737649063032368,0.543578775553293,0.6802015411569022,0.8011299435028248,0.7740174672489083,0.787340366463076,0.2837370242214533,0.3178294573643411,0.29981718464351004,289,0.6754038356427358,0.5990508953657628,0.26871541471692556,0.5822879115597213,0.5908796764408494,0.6977678153545176,0.8136986301369863,0.7747826086956522,0.7937639198218263,0.6564438694625114,0.5424334838621391,0.5459234623066247
fm_step2a_binned_features,best_run_scored_f1,0.43,0.5107095046854083,0.5046677470313782,0.3035532994923858,0.8691860465116279,0.44996237772761477,985,0.6715255308392315,0.3435757753065614,0.4829642248722317,0.4735492125969709,0.5130083086295923,0.8722891566265061,0.3951965065502183,0.5439519158527423,0.27009222661396576,0.7945736434108527,0.4031465093411996,759,0.6754038356427358,0.5990508953657628,0.26871541471692556,0.6075723275457999,0.6363321536905966,0.5341808177534889,0.9115913555992141,0.40347826086956523,0.5593731163351416,0.6564438694625114,0.571190691620236,0.5948850749805354
fm_step2a_binned_features,best_run_f1_recall_ge_050,0.43,0.5107095046854083,0.5046677470313782,0.3035532994923858,0.8691860465116279,0.44996237772761477,985,0.6715255308392315,0.3435757753065614,0.4829642248722317,0.4735492125969709,0.5130083086295923,0.8722891566265061,0.3951965065502183,0.5439519158527423,0.27009222661396576,0.7945736434108527,0.4031465093411996,759,0.6754038356427358,0.5990508953657628,0.26871541471692556,0.6075723275457999,0.6363321536905966,0.5341808177534889,0.9115913555992141,0.40347826086956523,0.5593731163351416,0.6564438694625114,0.571190691620236,0.5948850749805354
fm_step2a_binned_features,best_run_f1_recall_ge_060,0.43,0.5107095046854083,0.5046677470313782,0.3035532994923858,0.8691860465116279,0.44996237772761477,985,0.6715255308392315,0.3435757753065614,0.4829642248722317,0.4735492125969709,0.5130083086295923,0.8722891566265061,0.3951965065502183,0.5439519158527423,0.27009222661396576,0.7945736434108527,0.4031465093411996,759,0.6754038356427358,0.5990508953657628,0.26871541471692556,0.6075723275457999,0.6363321536905966,0.5341808177534889,0.9115913555992141,0.40347826086956523,0.5593731163351416,0.6564438694625114,0.571190691620236,0.5948850749805354
