name,AB,H,2B,3B,HR,TB,BB,HBP,SF
清宮幸太郎,525.0,143.0,25.0,1.0,12.0,206.0,46.0,1.0,5.0
畔柳亨丞,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
古林睿煬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
郡司裕也,364.0,108.0,15.0,0.0,10.0,153.0,45.0,6.0,5.0
ザバラ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
齋藤友貴哉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阪口樂,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柴田獅子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
進藤勇也,26.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
杉浦稔大,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
孫易磊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
達孝太,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
田中正義,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
玉井大翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
田宮裕涼,245.0,62.0,6.0,1.0,5.0,85.0,18.0,1.0,3.0
中島卓也,21.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
生田目翼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良間大己,91.0,20.0,2.0,0.0,1.0,25.0,7.0,2.0,0.0
野村佑希,339.0,91.0,18.0,1.0,8.0,135.0,26.0,3.0,1.0
バーヘイゲン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
福島蓮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
福谷浩司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伏見寅威,158.0,38.0,5.0,0.0,2.0,49.0,10.0,2.0,0.0
細川凌平,16.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
細野晴希,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
堀瑞輝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
マルティネス,69.0,12.0,3.0,0.0,1.0,18.0,2.0,1.0,1.0
松岡洸希,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松本剛,160.0,30.0,4.0,1.0,0.0,36.0,17.0,4.0,0.0
万波中正,420.0,96.0,23.0,1.0,20.0,181.0,43.0,1.0,0.0
水谷瞬,296.0,82.0,16.0,3.0,12.0,140.0,18.0,3.0,3.0
水野達稀,295.0,73.0,10.0,7.0,7.0,118.0,21.0,10.0,2.0
宮崎一樹,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
宮西尚生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
矢澤宏太,166.0,41.0,5.0,2.0,1.0,53.0,10.0,4.0,1.0
柳川大晟,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山縣秀,185.0,43.0,7.0,0.0,3.0,59.0,1.0,2.0,2.0
山﨑福也,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
山本拓実,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
吉田賢吾,106.0,23.0,6.0,1.0,4.0,43.0,5.0,1.0,0.0
レイエス,476.0,132.0,17.0,0.0,32.0,245.0,52.0,0.0,3.0
若林晃弘,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
アセベド,11.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0
愛斗,15.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0
東妻勇輔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田来翔,227.0,54.0,11.0,0.0,5.0,80.0,11.0,4.0,3.0
石川柊太,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
石川慎吾,35.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
石垣雅海,14.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0
一條力真,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上田希由翔,166.0,35.0,11.0,0.0,3.0,55.0,15.0,1.0,1.0
植田将太,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
岡大海,157.0,43.0,6.0,1.0,2.0,57.0,16.0,6.0,0.0
小川龍成,178.0,47.0,2.0,0.0,0.0,49.0,12.0,3.0,1.0
小島和哉,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小野郁,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
角中勝也,42.0,7.0,0.0,0.0,1.0,10.0,8.0,0.0,1.0
唐川侑己,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河村説人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
菊地吏玖,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木村優人,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ゲレーロ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
サモンズ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
坂井遼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
坂本光士郎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
佐藤都志也,198.0,41.0,8.0,0.0,4.0,61.0,18.0,4.0,1.0
澤田圭佑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
澤村拓一,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鈴木昭汰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ソト,330.0,76.0,14.0,0.0,13.0,129.0,32.0,3.0,2.0
高野脩汰,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
髙部瑛斗,357.0,102.0,15.0,7.0,2.0,137.0,14.0,3.0,5.0
立松由宇,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
田中晴也,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
種市篤暉,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
田村龍弘,38.0,6.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0
茶谷健太,36.0,8.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0
寺地隆成,414.0,106.0,16.0,0.0,5.0,137.0,19.0,7.0,2.0
友杉篤輝,278.0,64.0,11.0,2.0,1.0,82.0,15.0,3.0,2.0
中村奨吾,59.0,11.0,2.0,0.0,1.0,16.0,4.0,1.0,0.0
中村稔弥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中森俊介,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西川史礁,417.0,117.0,27.0,3.0,3.0,159.0,16.0,8.0,3.0
西野勇士,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西村天裕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
早坂響,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
廣池康志郎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
廣畑敦也,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
藤岡裕大,320.0,82.0,17.0,1.0,4.0,113.0,42.0,1.0,4.0
藤原恭大,409.0,111.0,12.0,6.0,4.0,147.0,33.0,6.0,0.0
二木康太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ボス,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ポランコ,139.0,28.0,3.0,0.0,5.0,46.0,14.0,0.0,1.0
益田直也,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松川虎生,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
美馬学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宮崎竜成,98.0,19.0,3.0,0.0,0.0,22.0,3.0,4.0,0.0
八木彬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
安田尚憲,317.0,77.0,15.0,0.0,0.0,92.0,25.0,4.0,4.0
山口航輝,106.0,27.0,2.0,0.0,7.0,50.0,5.0,0.0,1.0
山本大斗,385.0,79.0,18.0,0.0,11.0,130.0,24.0,6.0,1.0
横山陸人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
吉川悠斗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
和田康士朗,8.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
浅村栄斗,331.0,79.0,13.0,1.0,9.0,121.0,51.0,6.0,1.0
阿部寿樹,105.0,23.0,5.0,1.0,3.0,39.0,22.0,0.0,1.0
石原彪,32.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
伊藤裕季也,117.0,25.0,8.0,1.0,1.0,38.0,9.0,1.0,1.0
入江大樹,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
内星龍,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
江原雅裕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大内誠弥,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
太田光,188.0,33.0,7.0,2.0,1.0,47.0,23.0,5.0,1.0
岡島豪郎,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
小郷裕哉,173.0,30.0,7.0,2.0,2.0,47.0,16.0,1.0,2.0
加治屋蓮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
辛島航,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岸孝之,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黒川史陽,301.0,90.0,8.0,1.0,4.0,112.0,35.0,2.0,3.0
ゴンザレス,201.0,46.0,5.0,1.0,4.0,65.0,4.0,2.0,1.0
古謝樹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小深田大翔,299.0,65.0,5.0,2.0,1.0,77.0,40.0,1.0,1.0
小孫竜二,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小森航大郎,76.0,15.0,1.0,0.0,1.0,19.0,2.0,1.0,1.0
今野龍太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
坂井陽翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柴田大地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
