team,name,Hand,AVG,HR,SLG,SB,IsoD,type_power,type_avg,type_speed,type_eye,type_all
阪神,渡邉諒,右打,0.2601626016260163,2.0,0.34959349593495936,0.0,0.06100528158566254,0,0,0,0,0
DeNA,東克樹,左打,0.09803921568627451,0.0,0.09803921568627451,0.0,0.06559714795008913,0,0,0,0,0
DeNA,東妻純平,右打,0.5,0.0,1.0,0.0,0.0,1,1,0,0,0
DeNA,石上泰輝,左打,0.18309859154929578,0.0,0.23943661971830985,2.0,0.06365465520395097,0,0,0,0,0
DeNA,石田健大,左打,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0,0,0,0,0
DeNA,石田裕太郎,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
DeNA,伊藤光,右打,0.20454545454545456,1.0,0.2840909090909091,0.0,0.050773694390715635,0,0,0,0,0
DeNA,井上絢登,左打,0.19047619047619047,0.0,0.30952380952380953,1.0,0.07039337474120083,0,0,0,0,0
DeNA,ウィック,左打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
DeNA,蝦名達夫,右打,0.2556053811659193,3.0,0.3542600896860987,3.0,0.06828125851019407,0,0,0,0,0
DeNA,オースティン,右打,0.31565656565656564,25.0,0.601010101010101,0.0,0.06636590625354671,1,1,0,0,0
DeNA,大貫晋一,右打,0.08333333333333333,0.0,0.08333333333333333,0.0,0.03666666666666667,0,0,0,0,0
DeNA,梶原昂希,左打,0.2920353982300885,4.0,0.39233038348082594,16.0,0.022250316055625774,0,1,1,0,0
DeNA,神里和毅,左打,0.13043478260869565,0.0,0.13043478260869565,2.0,0.06956521739130436,0,0,0,0,0
DeNA,上茶谷大河,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
DeNA,京田陽太,左打,0.24537037037037038,1.0,0.30092592592592593,3.0,0.03911238825031929,0,0,0,0,0
DeNA,京山将弥,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
DeNA,楠本泰史,左打,0.1724137931034483,0.0,0.20689655172413793,0.0,0.05339265850945493,0,0,0,0,0
DeNA,桑原将志,右打,0.27017543859649124,5.0,0.3649122807017544,8.0,0.050337381916329305,0,0,0,0,0
DeNA,ケイ,左打,0.0,0.0,0.0,0.0,0.07317073170731707,0,0,0,0,0
DeNA,佐野恵太,左打,0.2729007633587786,8.0,0.383587786259542,0.0,0.0486540069592426,0,0,0,0,0
DeNA,ジャクソン,右打,0.0975609756097561,0.0,0.0975609756097561,0.0,0.04197390811117413,0,0,0,0,0
DeNA,柴田竜拓,左打,0.2608695652173913,0.0,0.2608695652173913,1.0,0.10950080515297905,0,0,0,1,0
DeNA,関根大気,左打,0.2265625,0.0,0.2421875,2.0,0.0713098404255319,0,0,0,0,0
DeNA,平良拳太郎,右打,0.2,0.0,0.2,0.0,0.0,0,0,0,0,0
DeNA,知野直人,右打,0.1111111111111111,0.0,0.16666666666666666,1.0,0.1616161616161616,0,0,0,1,0
DeNA,筒香嘉智,左打,0.18791946308724833,7.0,0.40939597315436244,0.0,0.08589006072227551,1,0,0,1,0
DeNA,戸柱恭孝,左打,0.24444444444444444,0.0,0.28888888888888886,0.0,0.04722222222222225,0,0,0,0,0
DeNA,中川颯,左打,0.25,1.0,0.5,0.0,0.0,1,0,0,0,0
DeNA,西浦直亨,右打,0.26666666666666666,0.0,0.4,0.0,0.0862745098039216,0,0,0,1,0
DeNA,濵口遥大,左打,0.21428571428571427,0.0,0.21428571428571427,0.0,0.05238095238095239,0,0,0,0,0
DeNA,林琢真,左打,0.16666666666666666,0.0,0.23529411764705882,6.0,0.0654761904761905,0,0,0,0,0
DeNA,フォード,左打,0.2,1.0,0.35,0.0,0.0727272727272727,0,0,0,0,0
DeNA,牧秀悟,右打,0.2940038684719536,23.0,0.4912959381044487,11.0,0.05180718322145106,1,1,1,0,1
DeNA,松尾汐恩,右打,0.21052631578947367,0.0,0.2894736842105263,0.0,0.03947368421052633,0,0,0,0,0
DeNA,松本隆之介,左打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
DeNA,宮﨑敏郎,右打,0.28292682926829266,14.0,0.44390243902439025,1.0,0.08807530292786941,1,0,0,1,0
DeNA,森敬斗,左打,0.25133689839572193,0.0,0.32620320855614976,8.0,0.043663101604278054,0,0,0,0,0
DeNA,森唯斗,右打,0.25,0.0,0.25,0.0,0.0,0,0,0,0,0
DeNA,大和,右打,0.24691358024691357,0.0,0.25925925925925924,1.0,0.041975308641975295,0,0,0,0,0
DeNA,山本祐大,右打,0.2905027932960894,5.0,0.38268156424581007,1.0,0.0495987295465502,0,1,0,0,0
DeNA,吉野光樹,右打,0.0,0.0,0.0,0.0,0.18181818181818182,0,0,0,1,0
DeNA,度会隆輝,左打,0.2549800796812749,3.0,0.32669322709163345,2.0,0.051292983049352425,0,0,0,0,0
広島,アドゥワ誠,右打,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0,0,0,0,0
広島,會澤翼,右打,0.18666666666666668,0.0,0.22666666666666666,0.0,0.0460377358490566,0,0,0,0,0
広島,秋山翔吾,左打,0.28884826325411334,4.0,0.3510054844606947,6.0,0.03935686495101487,0,0,0,0,0
広島,石原貴規,右打,0.22950819672131148,3.0,0.3524590163934426,0.0,0.05407389283092731,0,0,0,0,0
広島,磯村嘉孝,右打,0.0,0.0,0.0,0.0,0.1,0,0,0,1,0
広島,上本崇司,右打,0.20930232558139536,0.0,0.2248062015503876,0.0,0.04617212697334919,0,0,0,0,0
広島,宇草孔基,左打,0.24242424242424243,3.0,0.4090909090909091,3.0,0.06313131313131315,1,0,0,0,0
広島,内田湘大,右打,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,0
広島,大瀬良大地,右打,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0,0,0,0,0
広島,大盛穂,左打,0.22580645161290322,0.0,0.2903225806451613,2.0,0.04692082111436949,0,0,0,0,0
広島,河野佳,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
広島,菊池涼介,右打,0.24061810154525387,9.0,0.34216335540838855,2.0,0.04063189845474613,0,0,0,0,0
広島,久保修,右打,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0522875816993464,0,0,0,0,0
広島,九里亜蓮,右打,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
広島,黒原拓未,左打,1.0,0.0,3.0,0.0,0.0,1,1,0,0,0
広島,小園海斗,左打,0.2796296296296296,2.0,0.3296296296296296,13.0,0.0422292343979091,0,0,1,0,0
広島,坂倉将吾,左打,0.2786885245901639,12.0,0.41217798594847777,3.0,0.04886028235126777,1,0,0,0,0
広島,佐藤啓介,左打,0.13333333333333333,0.0,0.13333333333333333,0.0,0.10196078431372549,0,0,0,1,0
