team,name,Hand,AB,H,2B,3B,HR,TB,BB,HBP,SF
西武,高木渉,左打,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
西武,髙橋光成,右打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,髙松渡,左打,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,滝澤夏央,左打,118.0,22.0,1.0,2.0,0.0,27.0,8.0,1.0,0.0
西武,武内夏暉,左打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,田村伊知郎,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,柘植世那,右打,42.0,7.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0
西武,外崎修汰,右打,436.0,99.0,25.0,1.0,7.0,147.0,45.0,10.0,3.0
西武,中村剛也,右打,188.0,36.0,13.0,0.0,7.0,70.0,14.0,2.0,1.0
西武,中村祐太,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,西川愛也,左打,313.0,71.0,11.0,2.0,6.0,104.0,15.0,1.0,2.0
西武,野村大樹,右打,178.0,40.0,10.0,4.0,5.0,73.0,19.0,3.0,3.0
西武,長谷川信哉,右打,208.0,38.0,4.0,1.0,2.0,50.0,19.0,7.0,0.0
西武,羽田慎之介,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,浜屋将太,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,平井克典,右打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,平沼翔太,左打,132.0,35.0,9.0,0.0,0.0,44.0,8.0,2.0,0.0
西武,蛭間拓哉,左打,214.0,47.0,8.0,1.0,1.0,60.0,9.0,5.0,1.0
西武,ブランドン,右打,16.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
西武,古市尊,右打,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,ボー・タカハシ,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,本田圭佑,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,牧野翔矢,左打,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
西武,増田達至,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,松原聖弥,左打,65.0,8.0,2.0,1.0,0.0,12.0,5.0,0.0,0.0
西武,松本航,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,豆田泰志,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,水上由伸,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,村田怜音,右打,13.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
西武,元山飛優,左打,77.0,11.0,2.0,0.0,1.0,16.0,2.0,1.0,0.0
西武,ヤン,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,山野辺翔,右打,80.0,17.0,3.0,1.0,0.0,22.0,5.0,0.0,0.0
西武,山村崇嘉,左打,201.0,44.0,5.0,1.0,2.0,57.0,13.0,2.0,4.0
西武,陽川尚将,右打,30.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0
西武,與座海人,右打,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西武,若林楽人,右打,62.0,8.0,0.0,0.0,3.0,17.0,1.0,1.0,0.0
西武,渡部健人,右打,33.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
西武,渡邉勇太朗,右打,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPB,LEAGUE_AVERAGE,右打,80.75886524822695,19.619858156028368,3.2879432624113476,0.3574468085106383,1.3829787234042554,27.77163120567376,6.4624113475177305,0.8056737588652483,0.5290780141843971
