task,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,top3_accuracy,log_loss,roc_auc,pr_auc,best_epoch,best_valid_loss,roc_auc_ovr_macro
binary_run_scored,lightgbm,0.6354344122657581,0.5418102876839453,0.5533792017873465,0.5394306036774277,0.6572860254145945,1.0,1.0,0.6317536018487937,0.6009867641582884,0.2843346930509427,,,
binary_run_scored,fm,0.5562180579216355,0.5552638834472451,0.5805744558410345,0.517894877888257,0.5940781179546104,1.0,1.0,0.6795561246853045,0.591474560779933,0.2634170519080678,7.0,0.6485148207091264,
three_class_runs,lightgbm,0.6431005110732538,0.3772205112536045,0.3761630039881185,0.37467220952528035,0.6510112140685589,0.8824531516183987,1.0,0.8481211941942501,,,,,0.6044153536347615
three_class_runs,fm,0.4463373083475298,0.37849752177458323,0.4121732944646283,0.33814282616149843,0.5141284630092198,0.6831345826235093,1.0,1.0515864752501107,,,8.0,1.0507631957770351,0.5875663081543371
