投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
奥川　恭伸,ヤクルト,岡本　和真,巨人,0,11,8,0,0,0,0,0,0,1,2,0,2,0.273,0.273,0
Ｐ．ランバート,ヤクルト,岡本　和真,巨人,0.444,9,9,4,3,1,0,0,5,0,0,0,4,1,0.444,0.556
高橋　奎二,ヤクルト,岡本　和真,巨人,0.333,6,3,1,1,0,0,0,1,3,0,0,0,1,0.667,0.333
木澤　尚文,ヤクルト,岡本　和真,巨人,0,6,2,0,0,0,0,0,0,3,1,0,1,0.667,0.667,0
清水　昇,ヤクルト,岡本　和真,巨人,0.333,4,3,1,0,1,0,0,2,1,0,0,0,1.167,0.5,0.667
吉村　貢司郎,ヤクルト,岡本　和真,巨人,0.5,4,4,2,2,0,0,0,2,0,0,0,0,1,0.5,0.5
長谷川　宙輝,ヤクルト,岡本　和真,巨人,0.5,3,2,1,1,0,0,0,1,1,0,0,1,1.167,0.667,0.5
荘司　宏太,ヤクルト,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Ｐ．アビラ,ヤクルト,岡本　和真,巨人,0,3,2,0,0,0,0,0,0,1,0,0,1,0.333,0.333,0
山野　太一,ヤクルト,岡本　和真,巨人,0.667,3,3,2,1,0,0,1,5,0,0,0,0,2.334,0.667,1.667
小川　泰弘,ヤクルト,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
金久保　優斗,ヤクルト,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
石川　雅規,ヤクルト,岡本　和真,巨人,1,2,2,2,0,2,0,0,4,0,0,0,0,3,1,2
松本　健吾,ヤクルト,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0
石山　泰稚,ヤクルト,岡本　和真,巨人,0.5,2,2,1,0,1,0,0,2,0,0,0,0,1.5,0.5,1
田口　麗斗,ヤクルト,岡本　和真,巨人,1,2,1,1,1,0,0,0,1,1,0,0,0,2,1,1
小澤　怜史,ヤクルト,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
Ｍ．バウマン,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
拓也 （矢崎　拓也）,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
阪口　皓亮,ヤクルト,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
丸山　翔大,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
下川　隼佑,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ａ．ジャクソン,DeNA,岡本　和真,巨人,0.636,12,11,7,4,2,0,1,12,1,0,0,1,1.758,0.667,1.091
東　克樹,DeNA,岡本　和真,巨人,0.5,9,8,4,2,1,0,1,8,1,0,0,2,1.556,0.556,1
Ｔ．バウアー,DeNA,岡本　和真,巨人,0.6,6,5,3,1,0,0,2,9,1,0,0,0,2.467,0.667,1.8
伊勢　大夢,DeNA,岡本　和真,巨人,0.75,5,4,3,2,1,0,0,4,0,1,0,0,1.8,0.8,1
Ａ．ケイ,DeNA,岡本　和真,巨人,0.333,4,3,1,0,1,0,0,2,1,0,0,1,1.167,0.5,0.667
坂本　裕哉,DeNA,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
佐々木　千隼,DeNA,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0
大貫　晋一,DeNA,岡本　和真,巨人,1,3,2,2,1,0,0,1,5,1,0,0,0,3.5,1,2.5
竹田　祐,DeNA,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
石田　裕太郎,DeNA,岡本　和真,巨人,0.667,3,3,2,0,0,0,2,8,0,0,0,0,3.334,0.667,2.667
入江　大生,DeNA,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
三嶋　一輝,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
山﨑　康晃,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
堀岡　隼人,DeNA,岡本　和真,巨人,1,1,1,1,0,1,0,0,2,0,0,0,0,3,1,2
藤浪　晋太郎,DeNA,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
Ｒ．ウィック,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
森原　康平,DeNA,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
村上　頌樹,阪神,岡本　和真,巨人,0.125,9,8,1,0,1,0,0,2,1,0,0,0,0.472,0.222,0.25
才木　浩人,阪神,岡本　和真,巨人,0.167,6,6,1,0,1,0,0,2,0,0,0,1,0.5,0.167,0.333
髙橋　遥人,阪神,岡本　和真,巨人,0.667,5,3,2,1,1,0,0,3,2,0,0,0,1.8,0.8,1
石井　大智,阪神,岡本　和真,巨人,0.25,4,4,1,1,0,0,0,1,0,0,0,1,0.5,0.25,0.25
門別　啓人,阪神,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,1,0.666,0.333,0.333
岩崎　優,阪神,岡本　和真,巨人,0.333,3,3,1,0,0,0,1,4,0,0,0,0,1.666,0.333,1.333
富田　蓮,阪神,岡本　和真,巨人,0.667,3,3,2,1,0,1,0,4,0,0,0,0,2,0.667,1.333
大竹　耕太郎,阪神,岡本　和真,巨人,0.667,3,3,2,2,0,0,0,2,0,0,0,0,1.334,0.667,0.667
及川　雅貴,阪神,岡本　和真,巨人,1,3,2,2,1,1,0,0,3,1,0,0,0,2.5,1,1.5
伊原　陵人,阪神,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Ｊ．ビーズリー,阪神,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｊ．デュプランティエ,阪神,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
湯浅　京己,阪神,岡本　和真,巨人,1,1,1,1,0,1,0,0,2,0,0,0,0,3,1,2
畠　世周,阪神,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
岡留　英貴,阪神,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｎ．ネルソン,阪神,岡本　和真,巨人,1,1,1,1,0,1,0,0,2,0,0,0,0,3,1,2
桐敷　拓馬,阪神,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
漆原　大晟,阪神,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
床田　寛樹,広島,岡本　和真,巨人,0.2,11,10,2,2,0,0,0,2,1,0,0,0,0.473,0.273,0.2
大瀬良　大地,広島,岡本　和真,巨人,0.273,11,11,3,1,0,0,2,9,0,0,0,0,1.091,0.273,0.818
森　翔平,広島,岡本　和真,巨人,0.167,8,6,1,0,0,0,1,4,2,0,0,0,1.042,0.375,0.667
髙　太一,広島,岡本　和真,巨人,0.25,6,4,1,0,1,0,0,2,2,0,0,0,1,0.5,0.5
栗林　良吏,広島,岡本　和真,巨人,0.4,5,5,2,1,1,0,0,3,0,0,0,0,1,0.4,0.6
森浦　大輔,広島,岡本　和真,巨人,0,4,3,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0
岡本　駿,広島,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
玉村　昇悟,広島,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
島内　颯太郎,広島,岡本　和真,巨人,0.5,3,2,1,1,0,0,0,1,1,0,0,0,1.167,0.667,0.5
森下　暢仁,広島,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,1,0.666,0.333,0.333
Ｊ．ドミンゲス,広島,岡本　和真,巨人,0.5,2,2,1,0,0,0,1,4,0,0,0,0,2.5,0.5,2
中﨑　翔太,広島,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
Ｔ．ハーン,広島,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
鈴木　健矢,広島,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
柳　裕也,中日,岡本　和真,巨人,0.167,8,6,1,1,0,0,0,1,1,1,0,0,0.542,0.375,0.167
Ｋ．マラー,中日,岡本　和真,巨人,0.714,7,7,5,3,0,0,2,11,0,0,0,1,2.285,0.714,1.571
大野　雄大,中日,岡本　和真,巨人,0.6,6,5,3,1,2,0,0,5,0,0,0,0,1.5,0.5,1
松葉　貴大,中日,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
髙橋　宏斗,中日,岡本　和真,巨人,0,3,2,0,0,0,0,0,0,1,0,0,1,0.333,0.333,0
清水　達也,中日,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,2,0.666,0.333,0.333
伊藤　茉央,中日,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0
齋藤　綱記,中日,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
勝野　昌慶,中日,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
草加　勝,中日,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｈ．メヒア,中日,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
橋本　侑樹,中日,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
岩嵜　翔,中日,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
松山　晋也,中日,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
藤嶋　健人,中日,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
梅野　雄吾,中日,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
近藤　廉,中日,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ｙ．マルテ,中日,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｎ．ウォルターズ,中日,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
